,rhtB
Cr_1,0.0007195496696390341
Cr_2,0.0041908816266764
Cr_3,-0.0009261558304084803
Cr_4,0.0005073396896415985
Cr_5,0.00012340298334829008
Cr_6,9.89887904291214e-05
Fe_1,-0.03145618606109103
Fe_2,-0.06941563789646893
Fe_3,-0.1049634398547838
Fe_4,-0.1345430137458676
Fe_5,-0.14471391675459466
Fe_6,-0.12709957086052334
Cd_1,0.00183853720066643
Cd_2,0.0037601057508672452
Cd_3,0.0013078772295427542
Cd_4,0.0024358156256577305
Cd_5,0.0012434610604317724
Cd_6,0.004490739185400688
Zn_1,0.11370084672402175
Zn_2,0.23949246029757945
Zn_3,0.35568327698450725
Zn_4,0.4582975526615346
Zn_5,0.5109936376235472
Zn_6,0.5308585386545626
Cu_1,-0.0015741161425478231
Cu_2,-0.0008206828195643012
Cu_3,0.0002641092684360629
Cu_4,0.0012784298228501476
Cu_5,0.004503240258877465
Cu_6,0.01111725707796245
Pb_1,0.005465835722577704
Pb_2,0.009536073358966486
Pb_3,0.02167559808992367
Pb_4,0.031449971304341635
Pb_5,0.04269933771466269
Pb_6,0.05739441453497941
