,PSPTO_2925
SRX1828913,-0.0177975446
SRX1828914,0.6377228058000001
SRX1828915,0.0687680692
SRX1828916,0.2675226696
SRX1828917,-0.0509705247
SRX1828918,-0.015508255200000001
SRX3983989,0.6530462484
SRX3983990,-0.1335603581
SRX3983993,0.4413696918
SRX3983994,0.051549306100000004
SRX3983995,0.3893336417
SRX3983996,0.4039070058
SRX3983997,0.6449224181000001
SRX3983998,-0.07788362530000001
SRX3983999,0.021910560500000002
SRX3984000,0.8627943571000001
SRX3984001,0.4380710705
SRX3984002,0.7406765845000001
SRX3984003,0.5858204615
SRX3984004,0.23660509340000002
SRX3984005,0.023029522900000002
SRX3984006,1.3851526867000001
SRX3984007,0.4341736524
SRX3984008,0.373914469
SRX3984009,-0.1736324705
SRX3984010,1.1379332452
SRX3984011,0.5134870261
SRX3984012,0.20342317510000002
SRX3984013,0.44563404440000004
SRX3984014,0.36294571870000003
SRX3984015,1.1290326593
SRX3984016,-0.015241942100000001
SRX3984017,0.7163173005
SRX3984019,0.2186729218
SRX3984020,0.46305465490000003
SRX3984021,0.9168609104000001
SRX3984022,0.5505273633000001
SRX3984023,-0.1506030898
SRX3984024,-0.2573260296
SRX3984025,0.6567669934
SRX3984026,0.0019927654
SRX3984027,0.3805027788
SRX3984028,0.42201303430000003
SRX3984029,0.661984173
SRX3984031,0.8265172587
SRX3984032,0.7297817921
SRX3984034,0.0478997795
SRX3984035,-0.1372993237
SRX3984036,1.2230697367
SRX3984037,1.4556472288
SRX3984038,1.1018653719
SRX3984039,1.3393700363
SRX3984040,0.2523652229
SRX3984041,0.7570728532000001
SRX3984042,0.3435872277
SRX3984043,-0.13450831230000002
SRX3984045,-0.8970717112000001
SRX3984046,-0.1520300886
SRX3984047,1.1391002293
SRX3984048,0.9457903771
SRX3984049,1.0068026512
SRX3984050,0.9694992880000001
SRX3984051,0.9752192093000001
SRX3984052,0.4640436364
SRX3984056,0.6043207494
SRX3984057,0.6306267275
SRX3984058,0.4463656948
SRX3984059,0.3748234466
SRX3984061,0.2061960767
SRX3984062,0.1800357169
SRX3984063,-0.034122642
SRX3984064,0.0734660205
SRX3984065,0.1913341415
SRX3984066,0.0197042332
SRX3984067,0.3341016672
SRX3984068,0.08056937110000001
SRX3984069,0.40926271140000003
SRX3984070,0.6097261801
SRX3984071,0.2302248925
SRX3984073,0.4120327494
SRX3984074,0.45277702750000004
SRX3984077,0.1074976488
SRX3984078,-0.1426584153
SRX3984079,0.8474446878
SRX3984080,0.254733399
SRX3984082,0.0796163096
SRX3984084,0.3578972429
SRX6997963,0.1497387704
SRX6997964,-1.4900306237
SRX6997965,-0.6050349757
SRX6997967,0.2629378352
SRX6997968,-0.2967908576
SRX6997969,-1.2087568988
SRX6997971,-0.4126766056
SRX6997972,-0.9482439616
SRX6997973,-0.3925935949
SRX3159100,0.3280911219
SRX3159101,-0.9871499291
SRX3159102,0.44725845680000004
SRX3159103,0.2118003505
SRX3159000,1.0234743657
SRX3159001,0.2703049046
SRX3159002,0.09646463370000001
SRX3159003,-0.4803280407
SRX3159004,0.5595167176
SRX3159005,1.0540702652
SRX3159006,0.5998746982000001
SRX3159007,-0.4676757629
SRX3159008,-0.1040692953
SRX3159009,1.5174414456
SRX3159010,1.7041742784
SRX3159012,-1.0801272839
SRX3159013,-0.1502941308
SRX3159014,1.2140823585
SRX3159015,0.8099242987
SRX3159016,0.5612827863000001
SRX3159017,-0.44881267090000004
SRX3159018,-0.8152547842000001
SRX3159019,-1.0801272839
SRX3159020,0.9825506432000001
SRX3159021,-0.047696905000000005
SRX3159022,-1.0801272839
SRX3159023,1.5448291193
SRX3159024,0.37193232070000004
SRX3159025,-1.0801272839
SRX3159026,-0.34951773280000004
SRX3159027,0.5296988432
SRX3159028,0.4240495816
SRX3159029,-1.0801272839
SRX3159030,0.30039765360000004
SRX3159034,0.7267474915000001
SRX3159036,-0.3100200133
SRX3159037,0.10748866500000001
SRX3159041,-0.2312443622
SRX3159042,-0.0322111993
SRX3159043,0.39173584180000004
SRX3159045,0.6502263222
SRX3159047,0.9355973435
SRX3159048,-1.0801272839
SRX3159049,0.15439841540000002
SRX3159050,1.2755244229
SRX3159051,0.0462870768
SRX3159052,-0.2013313471
SRX3159053,1.3155923032999999
SRX3159054,0.0167744207
SRX3159055,1.6373223255
SRX3159056,0.34027380220000003
SRX3159057,0.6757103796
SRX3159058,-0.15794686
SRX3159060,0.2475803739
SRX3159061,0.7785122440000001
SRX3159062,2.0271227703
SRX3159063,-0.4115060726
SRX3159066,0.10357199160000001
SRX3159069,0.0204202502
SRX3159070,-1.0801272839
SRX3159071,0.6857515521
SRX3159073,1.4176687561
SRX3159074,-1.0801272839
SRX3159075,0.0234702423
SRX3159076,0.1544549525
SRX3159080,0.1977393802
SRX3159082,1.5436323893
SRX3159083,0.6139703368
SRX3159086,-0.26292870220000003
SRX3159087,-1.0801272839
SRX3159088,1.0391925832
SRX3159089,-0.3730893031
SRX3159090,-1.0801272839
SRX3159091,1.0769826692
SRX3159092,0.5624454560000001
SRX3159093,0.7915277449
SRX3159094,1.2053033155
SRX3159095,0.5575588264
SRX3159096,-1.0801272839
SRX3159097,0.23026524980000002
SRX3159098,1.7686254799
SRX3159099,0.5641334474
SRX3158988,0.9497770128
SRX3158989,1.0638842521
SRX3158990,1.4497326139
SRX3158991,0.0004979528
SRX3158992,-0.2807480268
SRX3158996,-0.6690289861000001
SRX3644656,-0.0263846202
SRX3644657,-0.1119864943
SRX3644658,0.1383711145
SRX3644659,-0.0685370237
SRX3644660,-0.1990839054
SRX3644661,-0.1963507176
SRX3644662,-0.4380684441
SRX3644663,-0.044649704000000005
SRX3644664,-0.0122605549
SRX3644665,-0.2402422338
SRX3644666,-0.1222564269
SRX3644667,0.2814168798
SRX3644668,-0.28685431440000003
SRX3644669,-0.2533984156
SRX3644670,-0.27188134540000003
SRX3644671,-0.2267131007
SRX3644672,-0.1040372408
SRX3644673,-0.10059124330000001
