,-0.08242713985714285,-0.05495142657142857,-0.027475713285714284,0.0,0.027475713285714284,0.05495142657142858,0.08242713985714285,0.10990285314285712,0.13737856642857144,0.16485427971428573,0.19232999300000003,0.21980570628571428,0.24728141957142857,0.27475713285714287,0.3022328461428571,0.3297085594285714,0.3571842727142857,0.384659986,0.4121356992857143,0.4396114125714286
thresh,-0.0961649965,0.0961649965,2,,,,,,,,,,,,,,,,,
unreg,0,14,415,4742,390,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DguR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],['PA5081'],[],[],[],[],[],[],[],[],[],[],[]
DguR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PA5082'],['PA5083'],['PA5084'],[],[],[]
