,A,CueR
R2,,0.07331484014067735
xmin,,-3.260627732
xmid,,0.676909950020258
xmax,,3.629331685
ystart,,0.18930865043293688
yend,,6.865972375221068
SRX1125282,0.4232828911,-0.021709826800000002
SRX1125283,1.6025520413,-0.22707536490000002
SRX1125284,0.1255521926,-0.2045079348
SRX1125285,0.1340615326,-0.36755391330000003
SRX1125286,0.4043167843,-0.5734088798
SRX1125287,-0.8984783339,-0.9915062475
SRX1125288,0.3356805775,-0.0741186871
SRX1125289,1.7364241049,-0.08886582180000001
SRX1125290,-0.0178740852,-0.282612582
SRX1125291,-0.2897780941,-0.23433519330000002
SRX1125292,0.9022439506000001,-0.4873096371
SRX1125293,1.2865875156,-0.6029667843000001
SRX1125294,-0.7589634686000001,0.09582851390000001
SRX1125295,0.9308290690000001,0.12347774930000001
SRX1125296,-0.2626827997,-0.21541008550000001
SRX1125297,-0.4440240445,-0.0798264105
SRX1125298,1.4298491297,-0.49366860560000003
SRX1125299,1.8336423483000002,-0.324455716
SRX5694250,-1.3091471894,0.7306802789
SRX5694251,-3.7355195091,-0.0963223379
SRX5694252,4.1368212528,0.2413352799
SRX5694253,0.6278251020000001,0.041171689500000004
SRX5694254,0.4882200125,-0.017414596600000002
SRX5694255,0.3291987061,-0.9116861065
SRX5694256,0.2639406694,0.0767488306
SRX5694257,2.2701933947,0.7299125769
SRX5694258,1.623787415,0.7506476149
SRX5694259,-4.5395015027,-1.274849755
SRX5694260,3.924840768,0.1195019793
SRX5694261,-0.6464133729,0.5032565625000001
SRX5694262,-1.4670104658,-0.0047544513
SRX5694263,0.1140284195,-0.2934325111
SRX5694264,1.6600593673000001,0.24379950300000003
SRX5694265,0.5763298818,-0.3996290927
SRX5694267,1.1764474109,-0.5869387220000001
SRX5694268,3.3290206312,0.2631433165
SRX5694269,1.4833829052,0.1655532037
SRX5694271,1.973823713,0.30241946000000003
SRX5694273,-3.118809799,-1.4350492581
SRX5694274,2.2119621152,0.1201437478
SRX5694275,0.71371588,-1.1728137778
SRX5694276,-1.7695878378,-0.4895867461
SRX5694277,3.448988608,-0.036495866
SRX5694278,-1.5598002375000002,-1.6268268042
SRX5694279,-0.0639569977,-0.3430179503
SRX5694280,1.0426225579,-0.41276307910000004
SRX5694281,2.4743886741,-0.5400883705
SRX5694282,1.4632635726,1.2312903285
SRX5694283,0.8787071733,-0.251935163
SRX5694284,1.006986461,-0.5919973566
SRX5694285,0.7749640673,-1.5223332302
