,yagY
Cr_1,0.00412686045247794
Cr_2,0.00841889352677945
Cr_3,0.0026080050138266924
Cr_4,3.850738174570204e-05
Cr_5,0.0009365258032620168
Cr_6,0.0016771992529365915
Fe_1,-0.0122055262184006
Fe_2,-0.02918248965785389
Fe_3,-0.03636396479612373
Fe_4,-0.0454857641110827
Fe_5,-0.050959520116562684
Fe_6,-0.050361686477936055
Cd_1,-0.0023542115346944763
Cd_2,0.0006866904506688772
Cd_3,0.0049602415502298216
Cd_4,0.004312574259463381
Cd_5,0.002749606437864065
Cd_6,0.007487329821943336
Zn_1,-0.007662339419577808
Zn_2,-0.008055219669193259
Zn_3,-0.00045265650102007803
Zn_4,0.0059256888720190855
Zn_5,0.01403367491485108
Zn_6,0.020229360034695613
Cu_1,-0.0006561763344930456
Cu_2,-0.004773975198521158
Cu_3,0.000849173074372857
Cu_4,0.006821251978391521
Cu_5,0.014507537239344016
Cu_6,0.018100568430843175
Pb_1,0.012308823204242413
Pb_2,0.018008687029040016
Pb_3,0.021917168267840497
Pb_4,0.026518619510207744
Pb_5,0.035239032045389584
Pb_6,0.031530602357709936
