,pheM
Cr_1,-0.0035079296794439064
Cr_2,-0.00028062890945153404
Cr_3,0.005691647212541019
Cr_4,0.01155192570790636
Cr_5,0.017984199624288794
Cr_6,0.021061813782548015
Fe_1,-0.009443513899639535
Fe_2,-0.02056547384499374
Fe_3,-0.03215018303457905
Fe_4,-0.04402522878461945
Fe_5,-0.04835833384730712
Fe_6,-0.057450252075846614
Cd_1,-0.002583500437135549
Cd_2,0.00030723893625997167
Cd_3,0.005009703974162731
Cd_4,0.011240151651293469
Cd_5,0.013644502717556337
Cd_6,0.01694681294802723
Zn_1,-0.016503527442175037
Zn_2,-0.03502858132853371
Zn_3,-0.04912461787394717
Zn_4,-0.05742450634854121
Zn_5,-0.06560344334192336
Zn_6,-0.08087729517894088
Cu_1,0.002747114587051368
Cu_2,0.009602851027465085
Cu_3,0.009813539595901208
Cu_4,0.011558120550444943
Cu_5,0.020146162089479943
Cu_6,0.021806905801042963
Pb_1,0.009239160419526526
Pb_2,0.015145273848332237
Pb_3,0.026050432549725343
Pb_4,0.03074342696957672
Pb_5,0.03627137489320019
Pb_6,0.046908914495048235
