,A,Fnr
R2,,0.03287044498007741
xmin,,-9.786193262000001
xmid,,
xmax,,2.044364117999999
ystart,,13.284609087467071
yend,,2.4349512401615145
control__wt_glc__1,0.1679476342092943,-0.0526320000000009
control__wt_glc__2,-0.1679476342093343,0.05263199999999912
fur__wt_dpd__1,2.3379203133069977,-0.2233275490000004
fur__wt_dpd__2,3.404940918725796,-0.20726320800000053
fur__wt_fe__1,0.305883072842573,-0.559124369000001
fur__wt_fe__2,0.5379917070814331,-0.5180337210000019
fur__delfur_dpd__1,1.789203324973071,-0.35869387400000186
fur__delfur_dpd__2,1.3388812438897495,-0.3499676950000019
fur__delfur_fe2__1,-2.950674760716907,-0.2728296990000008
fur__delfur_fe2__2,-3.054656841253844,-0.2654058500000005
acid__wt_ph5__1,2.116868458823886,-0.5248469310000008
acid__wt_ph5__2,1.895268596682996,-0.5394919760000008
acid__delgadx_ph5__2,2.405217581242942,-0.4808098230000013
acid__delgadw_ph5__1,2.3671051891941466,-0.5694477410000012
acid__delgadw_ph5__2,2.403475246490411,-0.5457824470000006
acid__delgade_ph5__1,2.05622514388857,-0.4965959550000018
acid__delgade_ph5__2,2.147814681300245,-0.5235996460000011
oxidative__wt_pq__1,1.8306031026785217,-0.27798360400000105
oxidative__wt_pq__2,2.332866810738156,-0.40360473400000174
oxidative__deloxyr_pq__1,1.7740544235048377,-0.11731480800000148
oxidative__deloxyr_pq__2,1.894324858116785,-0.05299572400000052
oxidative__delsoxr_pq__1,0.7235524748673685,-0.4695711340000006
oxidative__delsoxr_pq__2,1.090998520736906,-0.4755742960000013
oxidative__delsoxs_pq__1,1.402427154064932,-0.1387633190000006
oxidative__delsoxs_pq__2,1.5873196744497924,-0.1421156520000011
nac_ntrc__wt_csn__1,2.553092393540167,-0.1587119630000018
nac_ntrc__wt_csn__2,2.630607893129628,-0.2040164890000007
nac_ntrc__wt_cytd__1,2.431818884922921,-0.2233020650000004
nac_ntrc__wt_cytd__2,2.2284690071961104,-0.14878209200000114
nac_ntrc__wt_gln__1,2.672376859759135,-0.1339289860000008
nac_ntrc__wt_gln__2,2.9701748070095317,-0.07252378100000101
nac_ntrc__bw_delnac_csn__1,4.154116120259534,-0.17298681200000132
nac_ntrc__bw_delnac_csn__2,4.161115326404174,-0.2073357070000004
nac_ntrc__bw_delnac_cytd__1,4.5069253655608446,-0.3990849310000009
nac_ntrc__bw_delnac_cytd__2,4.887387237913303,-0.4580705310000006
nac_ntrc__bw_delnac_gln__1,3.33661031392347,-0.3877521210000019
nac_ntrc__bw_delnac_gln__2,2.91660120484284,-0.3182893920000005
