,treA
Cr_1,0.004925964399172828
Cr_2,0.011792694376863871
Cr_3,0.014957835276384638
Cr_4,0.02573906232909924
Cr_5,0.028280657021629324
Cr_6,0.03203835614450597
Fe_1,-0.015183386196099597
Fe_2,-0.02703973574420172
Fe_3,-0.03192281069757083
Fe_4,-0.04425168484509623
Fe_5,-0.03724861861358991
Fe_6,-0.02939924464664768
Cd_1,-0.0006323187794498876
Cd_2,0.0012352738221684274
Cd_3,0.002611363412947544
Cd_4,-0.0008744429238130446
Cd_5,-0.0036284605306046405
Cd_6,-0.0038008298797759968
Zn_1,0.005777982028885929
Zn_2,0.010084666613660882
Zn_3,0.022863226542298897
Zn_4,0.037370785660622886
Zn_5,0.04998447281597554
Zn_6,0.050645595774062184
Cu_1,0.0027125824621685693
Cu_2,0.004967540585582467
Cu_3,0.005644611375984788
Cu_4,0.009348339476977757
Cu_5,0.01966691833492036
Cu_6,0.029639828075498562
Pb_1,0.010572297546851786
Pb_2,0.01349703996954753
Pb_3,0.021849154461958425
Pb_4,0.02193950933003374
Pb_5,0.023315310077614903
Pb_6,0.02659138944876093
