,A,GlcC,PdhR,ArcA,ihfB
R2,,0.4678224108016318,0.0860712683452376,0.07977590050154248,0.06857044329058282
xmin,,-4.455594322,-7.947651277,-1.6314585560000001,-2.385835026
xmid,,-1.4966575013901575,-0.6087471138039214,,
xmax,,2.5161412590000003,2.404960983,2.531055996,1.646649845
ystart,,-2.6103130083581196,0.694836465953045,-4.330752879294115,-4.328056945525078
yend,,10.26537751993595,-5.120805428455743,3.7256249766163014,2.2421818531123563
ecoli_00001,0.1819985821,-0.004306211,-0.076205824,0.036636971000000004,0.08337238500000001
ecoli_00002,-0.1819985821,0.004306211,0.076205824,-0.036636971000000004,-0.08337238500000001
ecoli_00003,1.0525694349,-0.9693893240000001,0.388628517,1.058304126,0.7158603250000001
ecoli_00004,1.5336171183,-1.031394751,0.5117209730000001,1.126720666,0.8566654450000001
ecoli_00005,2.7063054761,0.10819666700000001,-0.39308108900000005,-0.05264584,-0.076995065
ecoli_00006,3.1941773965,0.054058543,-0.349306495,-0.129847039,-0.086717445
ecoli_00007,0.5346224605000001,-1.09646933,0.481353731,1.122678696,0.689803445
ecoli_00008,0.6774760221,-0.97859351,0.6873811950000001,1.043829066,0.621869415
ecoli_00009,-0.7175514975,-0.453478072,-0.20407438200000003,0.038872322,0.365818715
ecoli_00010,-0.7084015683,-0.395979246,-0.21128722100000003,0.005759822,0.335810425
ecoli_00011,1.2703258449,-0.12757337800000002,-0.297045391,0.9077065660000001,0.284257435
ecoli_00012,1.2134691412,-0.061555369000000006,-0.311904088,0.8854765760000001,0.301657345
ecoli_00014,1.5989433189,-0.052914872,-0.326083807,0.6386470710000001,0.036205125000000005
ecoli_00015,1.4626531035,-0.11998831100000001,-0.34906235500000005,0.774188486,0.19517709500000002
ecoli_00016,1.1197042805,-0.017641441,-0.42781822900000005,0.8036499260000001,0.183183425
ecoli_00017,1.390718271,0.10010800800000001,-0.260539318,0.499338233,0.33218594500000004
ecoli_00018,1.6135476625,0.153028078,-0.354291301,0.48226117700000004,0.239560985
ecoli_00019,1.5883789314999999,0.57004642,-0.457837302,2.161495396,0.946614625
ecoli_00020,1.2974543628,0.593290705,-0.47875083900000004,2.173902676,0.9488081850000001
ecoli_00021,3.7020756236,1.118320668,-0.709217136,2.132592106,0.874908725
ecoli_00022,3.3273218292,1.193433827,-0.635146658,2.155119376,0.9672342150000001
ecoli_00023,0.1521789188,0.17630130800000002,-0.699666961,2.114133386,1.071325345
ecoli_00024,0.8912376347000001,0.16489388600000002,-0.762532084,2.045519786,1.168231695
ecoli_00025,1.4617364185000001,0.584746198,-0.873888734,2.3445910960000003,1.135143795
ecoli_00026,0.8786874357000001,0.6653744650000001,-0.9755214550000001,2.405278176,1.020138575
ecoli_00027,-0.7203784461,-0.718654486,-0.034281075,0.614107743,0.172544145
ecoli_00028,-0.2699866767,-0.6280787790000001,-0.107742839,0.560547789,0.213025175
ecoli_00029,0.0581881537,-0.192931433,-0.10149343200000001,0.279501977,0.457530655
ecoli_00030,0.33393409690000003,-0.40706385700000003,-0.32041271200000004,0.286099773,0.597994515
ecoli_00031,0.9176507666,-0.118895604,0.286259751,0.8913351260000001,1.040972635
ecoli_00032,0.8188340259,-0.220868911,0.151075181,0.8662795560000001,1.115534085
ecoli_00033,1.178540117,-0.904927577,-0.42536776800000003,0.9463078960000001,0.215499185
ecoli_00034,1.3655660104,-0.9226628790000001,-0.20802858600000002,1.058494226,-0.16648385500000001
ecoli_00035,0.3618838625,-0.363316,-0.32793236400000003,0.9694913660000001,0.46454559500000003
ecoli_00036,0.5592593007000001,-0.48236211500000004,-0.331221871,0.9866688160000001,0.423041565
ecoli_00037,1.5692624559000001,-0.443855551,-0.040888055,1.779034016,0.8464916450000001
ecoli_00038,1.3963660802,-0.309377312,0.0760518,1.7441336060000001,0.8042016750000001
ecoli_00039,-0.5745715893000001,-0.933478828,-0.11536692700000001,0.532564653,-0.302034215
ecoli_00040,-0.1526774367,-0.871314585,-0.131267398,0.613698527,-0.19284083500000002
ecoli_00041,0.2982184502,-0.7539028940000001,-0.724696478,0.985523586,0.868944275
ecoli_00042,0.0099962457,-0.5875274610000001,-0.40118576100000003,0.614279137,0.509379655
ecoli_00043,1.0873438155,-0.24586315500000003,-0.15397062,0.12568636,-0.339403675
ecoli_00044,0.5906958422,-0.22683860700000003,-0.105016302,0.035046911,-0.297203465
ecoli_00045,1.0020662267,-0.140333635,-0.004561769,-0.24226446100000001,-0.6204796650000001
ecoli_00046,0.5106044437,-0.44548695400000005,-0.045542941,-0.291546346,-0.5922961330000001
ecoli_00047,0.9679721915,-0.49684892700000005,-0.085391515,0.639510641,-0.26224984500000004
ecoli_00048,0.5618140926,-0.447803102,-0.22761072200000002,0.6575469140000001,-0.136506935
ecoli_00049,0.8342642001,-0.47932745800000004,-0.250583428,1.407530216,0.036167395000000005
ecoli_00050,-0.8576481015,0.5089279760000001,0.06452674600000001,-0.273254272,-0.13827825500000002
ecoli_00051,-0.2721488674,0.43924531600000005,0.18223065,-0.267923509,-0.251474605
