,USA300HOU_RS02615
USA300_LAC_ICA-Set002_CAMHB_Control_2,8.935233981875523
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,8.63160893474538
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,8.457305616405522
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,9.157559950748436
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,9.168929235165614
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,9.227722190201158
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,9.075204491279061
USA300_SNFM1_ICA-Set002_R10LB_Control_1,9.25454117924136
USA300_SNFM1_ICA-Set002_R10LB_Control_2,9.198376424953716
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,8.922366504222076
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,9.029217015308452
USA300_SNFR19_ICA-Set002_R10LB_Control_1,9.185314115669264
USA300_SNFR19_ICA-Set002_R10LB_Control_2,9.120312023291307
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,8.955773449240318
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,8.8739167125064
USA300_TCH1516_ICA-Set002_R10LB_Control_1,8.077454730115631
USA300_TCH1516_ICA-Set002_R10LB_Control_2,8.156850258362217
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,8.947025251232139
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,8.222454375885665
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,8.985323831141502
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,8.232815353725892
USA300_TCH1516_ICA-Set003_250nMParaquat_1,7.740761795457375
USA300_TCH1516_ICA-Set003_250nMParaquat_2,7.686187401987512
USA300_TCH1516_ICA-Set003_2gLGalactose_1,8.02551150714108
USA300_TCH1516_ICA-Set003_2gLGalactose_2,7.841665270682117
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,7.4312248677650725
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,7.031153824939662
USA300_TCH1516_ICA-Set003_Control_1,8.301875602096104
USA300_TCH1516_ICA-Set003_Control_2,8.029555392259685
USA300_TCH1516_ICA-Set003_StationaryPhase_1,8.47271859832091
USA300_TCH1516_ICA-Set003_StationaryPhase_2,8.13515301533556
