,A,Rgg
R2,,0.012906261946122877
xmin,,-2.8945661327
xmid,,
xmax,,0.8721696616
ystart,,0.20979745030247132
yend,,3.002818161282697
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.8194014018,0.0532455914
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.9519372217000001,0.0721029844
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,1.7713386235000002,-0.1253485758
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,2.2018601554,-1.6519615736
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,1.9284269276,-1.5952814926999999
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-1.0345945723,-1.1338151479
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,0.764862075,-1.8510463396999999
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,1.0500115873,-1.8260781702000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,2.8766454046,-1.6165992542
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,3.2543508124000002,-0.39234078980000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,-4.5408855652,-0.5948657296000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-1.6183044812,0.4575820506
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,6.4667110609,-0.20494625830000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,-4.613636044,-0.6193071326
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-3.6967700993,-0.042233017000000005
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-2.083474346,0.2648620008
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,5.636113112,-0.0033262426000000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-0.6967355451,0.2825073075
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,-0.9250860426,0.6268055216
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-1.9313220508,-0.0513716289
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-3.5556353566,-0.2566099085
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-4.1520607529,0.1165055319
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,2.2878131262,-0.35483201010000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,2.5084534190000003,-0.2247761125
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,-2.7503446993000003,-0.0530269227
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,5.5558517956,-0.031479962800000004
