,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,1.5354549245146525,3.0,0.0,-0.8194014018,1.0,-0.9519372217000001,2.0,1.7713386235000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,1.0318975035666667,1.794849173950579,3.0,3.0,2.2018601554,4.0,1.9284269276,5.0,-1.0345945723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,1.5638396889666666,1.1458279523300579,3.0,6.0,0.764862075,7.0,1.0500115873,8.0,2.8766454046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,2.114710523095536e-17,3.595663549616485,21.0,9.0,3.2543508124000002,10.0,-4.5408855652,11.0,-1.6183044812,12.0,6.4667110609,13.0,-4.613636044,14.0,-3.6967700993,15.0,-2.083474346,16.0,5.636113112,17.0,-0.6967355451,18.0,-0.9250860426,19.0,-1.9313220508,20.0,-3.5556353566,21.0,-4.1520607529,22.0,2.2878131262,23.0,2.5084534190000003,24.0,-2.7503446993000003,25.0,5.5558517956,26.0,4.0227888008,27.0,-1.0933855554,28.0,-1.0026646682,29.0,2.9282230797
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,3.2689815525809522,0.8420770556525586,21.0,30.0,3.0080334467,31.0,4.2056242133,32.0,3.6375309091,33.0,3.0851768412,34.0,3.1851435995,35.0,3.0012864128,36.0,2.2100657205,37.0,3.7255716323,38.0,2.8037322791,39.0,1.7947926793,40.0,3.0400449201,41.0,2.9577686969,42.0,2.6559613657,43.0,2.8050630373,44.0,2.5426210538,45.0,2.6956726548,46.0,5.0202569769,47.0,2.9366332566,48.0,4.0389424175,49.0,4.8627485044,50.0,4.4359419864
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-3.333332337004021e-11,0.4676913688531129,3.0,51.0,-0.4757146109,52.0,0.45923237910000003,53.0,0.0164822317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,9.410531039799999,3.746995342431307,4.0,54.0,7.8787964154,55.0,7.2007543091,56.0,7.5469096261,57.0,15.0156638086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-6.938893903907228e-18,0.5277254180568773,4.0,58.0,0.7464482511,59.0,-0.46663934020000003,60.0,-0.036467102700000004,61.0,-0.2433418082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-1.1294785449,1.149241970057803,4.0,62.0,-2.1106579252,63.0,-0.9723062057,64.0,-1.8653777630000001,65.0,0.43042771430000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,1.060001318225,0.6026276132772035,4.0,66.0,1.9211296516,67.0,0.9972209194,68.0,0.7733374028000001,69.0,0.5483172991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
