,-0.06589466874000001,-0.04392977916000001,-0.021964889580000008,-1.3877787807814457e-17,0.021964889579999994,0.04392977916,0.06589466873999998,0.08785955831999999,0.1098244479,0.13178933748,0.15375422706000003,0.17571911664,0.19768400621999999,0.21964889580000002,0.24161378538,0.26357867496000004,0.28554356454,0.30750845412,0.32947334370000003,0.35143823328
thresh,-0.054912223950000005,0.054912223950000005,2,,,,,,,,,,,,,,,,,
unreg,2,6,149,828,80,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rgg,2,3,87,478,62,0,2,0,0,1,2,0,0,1,4,3,2,0,0,0
unreg_genes,['SP5448_03665' 'SP5448_00635'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ntpG'],[],[],[],[]
Rgg_genes,['SP5448_00890' 'serS'],['isaA' 'hutD' 'ftcD'],"['isdE' 'nagB' 'nanE' 'ska' 'shp' 'parB' 'SP5448_04765' 'fhs' 'niaR'
 'SP5448_07510' 'SP5448_07145' 'dnaJ' 'copZ' 'fhuC' 'glyQ' 'SP5448_04750'
 'SP5448_01955' 'lacA' 'macB' 'sip' 'nrdD_1' 'pyrF' 'cydD' 'xpt'
 'SP5448_04030' 'dmpI' 'glpQ' 'xerD' 'clpP' 'upp' 'XK27_09705' 'busR'
 'ynzC' 'galU' 'rsuA' 'SP5448_03795' 'SP5448_09245' 'SP5448_04420' 'pbuX'
 'aroD' 'SP5448_04075' 'acrA' 'gpmA' 'SP5448_06320' 'mga' 'ywbD'
 'SP5448_01730' 'isdH' 'SP5448_01215' 'arcA' 'rpmB' 'ykuL' 'sagC' 'ctfB'
 'deoC' 'rpiB' 'groL' 'ytxH' 'devA' 'veg' 'groS' 'slo' 'manO' 'pncB'
 'hsdS2' 'nadK' 'bgl' 'SP5448_08710' 'dck' 'thiI' 'SP5448_03500' 'trmL'
 'SP5448_09235' 'yqjA' 'rfbD' 'SP5448_03045' 'SP5448_04520' 'SP5448_02340'
 'yybT' 'SP5448_05210' 'SP5448_05690' 'hyl' 'ycaO' 'salA' 'XK27_04650'
 'XK27_01040' 'sagB']","['SP5448_05820' 'SP5448_04720' 'gcdC' 'rsfS' 'ccl' 'yhhS' 'gcdB' 'gst'
 'rpoE' 'gloA' 'yecS' 'SP5448_01220' 'pyrD' 'aroC' 'XK27_10035' 'sstT'
 'kup' 'nanH' 'SP5448_01075' 'nadD' 'fba' 'rliB' 'SP5448_07715'
 'SP5448_02600' 'dprA' 'rsmG' 'fchA' 'ylbM' 'gyrB' 'rplL' 'XK27_08130'
 'thiT' 'dus' 'yfiB1' 'frp' 'cah' 'nrdR' 'pyk' 'yxkH' 'trxA' 'recD2'
 'SP5448_02015' 'coiA' 'fhuB' 'nodC' 'SP5448_08475' 'mngB' 'gcdC' 'gor'
 'ppiA' 'SP5448_06600' 'glyS' 'SP5448_03885' 'nadD' 'XK27_06920' 'murM'
 'SP5448_07685' 'rpmA' 'mtsC' 'thrS' 'SP5448_04350' 'XK27_08585' 'lctO'
 'oppD' 'yqeM' 'pyrE' 'ulaA' 'glk' 'amiD' 'ftsX' 'norN' 'corA'
 'SP5448_01655' 'SP5448_00730' 'mrnC' 'gatB' 'dnaQ' 'XK27_02140' 'inlA'
 'SP5448_01225' 'rlmH' 'rnjB' 'parC' 'trmD' 'supH' 'fasB' 'rplO' 'mnmE'
 'XK27_07105' 'estA' 'XK27_08715' 'clcA' 'cppA' 'nptA' 'cas1' 'lplC'
 'yeaZ' 'SP5448_01745' 'mfd' 'SP5448_00870' 'gltX' 'purD' 'asp'
 'WQ51_05710' 'proB' 'sagA' 'SP5448_00755' 'SP5448_08820' 'rplC' 'cydC'
 'lmrB' 'SP5448_02365' 'acpS' 'XK27_07830' 'yitS' 'scpA' 'ftsY'
 'SP5448_05675' 'ychF' 'recR' 'pgi' 'glnQ' 'WQ51_03320' 'murA'
 'XK27_00880' 'yegQ' 'mutS2' 'cutC' 'sufB' 'prtP' 'uppP' 'uppS' 'hutU'
 'lacC' 'salB' 'SP5448_06300' 'ybhL' 'gatA' 'yidA' 'rpsI' 'yvoA_1' 'dgkA'
 'rplT' 'XK27_00340' 'naiP' 'idi' 'rpsB' 'nudF' 'lmb' 'sagE' 'ydiB' 'steT'
 'ytoI' 'XK27_06930' 'argR' 'infC' 'ecfA1' 'SP5448_02545' 'yqgQ' 'pbuO'
 'pyrR' 'yegQ' 'SP5448_05130' 'rimM' 'lacA' 'csd2' 'murE' 'yabB' 'yfdH'
 'yhbY' 'SP5448_08860' 'gldA' 'rplR' 'pheT' 'yaeR' 'SP5448_04345' 'adhP'
 'hutG' 'rpsP' 'ybaK' 'ileS' 'SP5448_07250' 'appA_2' 'folD' 'mutY' 'sagD'
 'ligA' 'SP5448_08905' 'SP5448_00885' 'amiC' 'yutD' 'brnQ' 'araD' 'rplV'
 'nusG' 'cmk' 'prsA' 'XK27_03525' 'SP5448_06405' 'yidD' 'SP5448_02160'
 'XK27_08315' 'yidC' 'ypjC' 'dut' 'SP5448_06745' 'malF' 'XK26_04485'
 'argF' 'alaA' 'rpmI' 'secY' 'tal' 'tal' 'vraR' 'ldh' 'tcsA' 'pepQ' 'dacA'
 'oadA' 'SP5448_00670' 'yidC' 'sun' 'SP5448_05995' 'def_1' 'ampC' 'dacA'
 'capA' 'atpC' 'rplK' 'oadB' 'SP5448_06485' 'atpD' 'manL' 'tsf' 'suhB'
 'rapZ' 'yeaB' 'alr' 'rplD' 'recJ' 'cadD' 'priA' 'yqeG' 'prtP'
 'SP5448_07440' 'valS' 'msrA' 'luxS' 'pyrP' 'spaT' 'sitB' 'recG'
 'SP5448_07260' 'yqeH' 'vraS' 'cas5d' 'ulaG' 'rgpA' 'nrdH' 'XK27_08140'
 'cpsY' 'argS' 'coaB' 'ugd' 'XK27_05110' 'leuS' 'SP5448_08400'
 'XK27_10720' 'rplJ' 'nylA' 'hutI' 'gntR1' 'ybiW' 'iprA' 'lacD' 'ybhK'
 'yegS' 'cvpA' 'hasB' 'aphA' 'ylqC' 'skfE' 'ylqF' 'coaA' 'XK27_01785'
 'yqfA' 'XK27_05475' 'pdxH' 'ppc' 'mutF' 'msrA' 'SP5448_07730' 'hutH'
 'ypcB' 'oxlT' 'glpK' 'opuAB' 'adh' 'rpmG' 'mscL' 'yjbM' 'yjjG'
 'XK27_09090' 'yozE' 'pth' 'rplW' 'cas9' 'phoH' 'SP5448_01105'
 'SP5448_07295' 'gcdH' 'rpsS' 'mutR' 'nudL' 'nrnA' 'manM' 'XK27_09605'
 'SP5448_03035' 'XK27_06230' 'folC' 'baiH' 'glnQ' 'copA' 'ypjC' 'agaV'
 'ylxM' 'yfmM' 'mdtG' 'ddl' 'csn2' 'dppC' 'hslO' 'SP5448_07255' 'whiA'
 'SP5448_07380' 'eda' 'metK' 'XK27_04590' 'amrA' 'sca1' 'rplX'
 'SP5448_05020' 'uvrC' 'XK27_10930' 'XK27_00890' 'celC' 'ymfM' 'xerS'
 'XK27_00190' 'csd1' 'yjbK' 'rpsD' 'Z012_04635' 'xseA' 'sagI' 'rnpA'
 'murM' 'hit' 'lipL' 'lacG' 'nrdE' 'cas2' 'SP5448_08360' 'xseB'
 'SP5448_03305' 'ypsA' 'bioY' 'cas3' 'SP5448_04140' 'amyA' 'SP5448_08620'
 'XK27_00195' 'ysxB' 'citE' 'phr' 'SP5448_03755' 'purN' 'cas4' 'rrmJ'
 'scrR' 'SP5448_01130' 'rplS' 'SP5448_08580' 'SP5448_05970' 'SP5448_06935'
 'SP5448_07745' 'citF' 'glxK' 'agaS' 'pyrB' 'pheA' 'SP5448_06715' 'rpsE'
 'speB' 'artQ' 'citD' 'aspB' 'acyP' 'purA' 'recO' 'SP5448_06790' 'cas1'
 'hsdR' 'rpsN' 'rplA' 'rplN' 'gyrA' 'sagG' 'tdk' 'SP5448_03950' 'ycgQ'
 'ctfA' 'fhuG' 'SP5448_08740' 'SP5448_03955' 'tgt' 'sagH' 'SP5448_05100'
 'yrrM' 'carB' 'pgsA' 'cadC' 'rpsC' 'SP5448_02010' 'yceM' 'SP5448_07645'
 'SP5448_02170' 'mutS' 'ykzG' 'SP5448_05195' 'SP5448_04950' 'nrdG'
 'SP5448_08685' 'rpsO' 'SP5448_08890' 'rpsF' 'WQ51_01820' 'oadA' 'adk'
 'aatB' 'fruR' 'rplF' 'ytxK' 'ysiD' 'yfmL' 'malX' 'SP5448_07760'
 'XK27_09600' 'SP5448_03055' 'SP5448_04660' 'lacF' 'SP5448_07385' 'nrdF'
 'radC' 'ywaF' 'scrA' 'SP5448_05565' 'ispA' 'ssb' 'lpdA' 'yueI' 'dpiA'
 'lacE' 'glpT' 'ypbG' 'purC' 'XK27_10540' 'scrB' 'malG' 'manN'
 'SP5448_01565' 'fhs' 'XK27_06935' 'ykuJ' 'tal' 'dinB' 'malA']","['SP5448_05000' 'SP5448_00270' 'SP5448_03060' 'citX' 'cas2' 'phnA' 'glnQ'
 'gabD' 'glpD' 'rofA' 'SP5448_01610' 'spaG' 'lacZ' 'pspC' 'SP5448_08635'
 'licB_1' 'ytjP' 'arcD' 'ptsD' 'glnP' 'carA' 'nrdD' 'SP5448_05655' 'acoB'
 'SP5448_05645' 'agcS' 'acoA' 'glnA' 'gsiC' 'ulaD' 'glnR' 'gidA' 'acoC'
 'pulA' 'arcC' 'pflB' 'SP5448_09300' 'rgfB' 'SP5448_01230' 'dexB'
 'SP5448_08470' 'rpsR' 'mnmA' 'ptsC' 'SP5448_08300' 'glgP' 'SP5448_05330'
 'ptsB' 'malC' 'SP5448_04190' 'spxA_2' 'guaC' 'SP5448_03880'
 'SP5448_05650' 'nrdI' 'SP5448_09000' 'SP5448_03750' 'glnQ' 'srtA' 'ldhA'
 'bglH' 'SP5448_08155']",[],['yxeN' 'tcyN'],[],[],['sdaAB'],['cysK' 'sdaAA'],[],[],['atpD'],['ntpB' 'atpA' 'ntpC' 'atpE'],['pfoR' 'atpE' 'yabJ'],['ntpI' 'SP5448_00800'],[],[],[]
