,ycfD
Cr_1,-0.0040502565302771455
Cr_2,-0.0033881118537101404
Cr_3,-0.0029558281074231647
Cr_4,-0.0031333198848393024
Cr_5,-0.003425364646635755
Cr_6,-0.005693827452019878
Fe_1,-0.004246611880517847
Fe_2,-0.02332748216814439
Fe_3,-0.04329496307281395
Fe_4,-0.07514238831735118
Fe_5,-0.09860458145354907
Fe_6,-0.1098709210867823
Cd_1,-0.0008196410040946806
Cd_2,-0.004524755060943398
Cd_3,-0.006658522769822859
Cd_4,-0.009892120095402959
Cd_5,-0.015102882735407743
Cd_6,-0.014795467552402524
Zn_1,0.002486322905834307
Zn_2,0.010360031685078609
Zn_3,0.026100038176799685
Zn_4,0.03518864444729313
Zn_5,0.052701288187529186
Zn_6,0.07078642206925226
Cu_1,-0.00031849953602980526
Cu_2,0.003821668108394017
Cu_3,0.008139222753740773
Cu_4,0.009872501509325208
Cu_5,0.010831865805127171
Cu_6,0.01399963875083746
Pb_1,0.005513292450505089
Pb_2,0.01055717867601835
Pb_3,0.015201249865251096
Pb_4,0.016357131674019004
Pb_5,0.020445601023544244
Pb_6,0.022673852653997927
