locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PN96_RS14450,0.2120641979003649,PN96_RS14450,DUF4212 domain-containing protein,Function unknown,Op2956,,
PN96_RS14420,0.1645558809145333,PN96_RS14420,DUF294 nucleotidyltransferase-like domain-containing protein,Signal transduction mechanisms,Op2951,,
PN96_RS23895,0.1634512538615272,PN96_RS23895,hypothetical protein,No COG annotation,Op2041,,
PN96_RS14410,0.1560009173883378,acs,acetate--CoA ligase,Nucleotide transport and metabolism,Op2950,,
PN96_RS14415,0.147989809478274,PN96_RS14415,3'-5' exonuclease,"Replication, recombination and repair",Op2951,,
PN96_RS09125,0.1316973372331943,PN96_RS09125,TRAP transporter substrate-binding protein,Carbohydrate transport and metabolism,Op2329,,
PN96_RS05405,0.1295266695715881,PN96_RS05405,tripartite tricarboxylate transporter TctB family protein,Function unknown,Op1337,,
PN96_RS14445,0.1224990578265714,PN96_RS14445,cation acetate symporter,Function unknown,Op2956,,
PN96_RS05410,0.1197842787542599,PN96_RS05410,tripartite tricarboxylate transporter substrate binding protein,Function unknown,Op1341,,
PN96_RS23420,0.119658135154287,PN96_RS23420,DUF3360 domain-containing protein,Function unknown,Op2236,,
PN96_RS04190,0.1026625402405701,PN96_RS04190,TRAP transporter substrate-binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1059,,
PN96_RS07405,0.1023131426649631,PN96_RS07405,DASS family sodium-coupled anion symporter,Inorganic ion transport and metabolism,Op1880,,
PN96_RS09120,0.1016290829966284,PN96_RS09120,TRAP transporter small permease,Carbohydrate transport and metabolism,Op2328,,
PN96_RS18285,0.0978942955130723,PN96_RS18285,SDR family oxidoreductase,Lipid transport and metabolism,Op833,"Crp,HapR,QstR",
PN96_RS05400,0.0906303713657721,PN96_RS05400,tripartite tricarboxylate transporter permease,Function unknown,Op1337,,
PN96_RS09115,0.0891054595888112,PN96_RS09115,TRAP transporter large permease,Carbohydrate transport and metabolism,Op2328,,
PN96_RS17720,0.087664007743042,PN96_RS17720,acyl-CoA synthetase,Lipid transport and metabolism,Op666,,
PN96_RS04195,0.0827608429198989,PN96_RS04195,TRAP transporter small permease subunit,"Secondary metabolites biosynthesis, transport, and catabolism",Op1061,,
