,A,Crp,GlpR
R2,,0.034940281518562655,0.00923599970482436
xmin,,-9.852476477,-3.6870425559999984
xmid,,-0.0071046791035220295,-0.9447499167176108
xmax,,1.6003325529999994,0.9237816860000008
ystart,,2.5781155485252403,3.254896142717784
yend,,8.104243832676664,6.18628647916896
control__wt_glc__1,-0.069219400467113,0.012478645999999928,-0.10035430599999984
control__wt_glc__2,0.0692194004671192,-0.012478645999999928,0.10035430600000073
fur__wt_dpd__1,1.7681781884509644,0.07757413100000042,-0.16257268199999866
fur__wt_dpd__2,1.8620464654857625,-0.0906821709999992,-0.13512164199999874
fur__wt_fe__1,-0.3047923946808909,-0.030513672999999738,-0.3423733839999992
fur__wt_fe__2,-0.3312464312619285,0.0581907200000007,-0.32360072199999834
fur__delfur_dpd__1,0.9155024804051572,-0.10598198399999957,-0.27993938799999896
fur__delfur_dpd__2,0.883607916440816,-0.22346684100000047,-0.4574570709999994
fur__delfur_fe2__1,0.0881814378216806,0.4364299129999996,-0.025440177999997537
fur__delfur_fe2__2,0.1584861194612707,0.36756339300000107,-0.21811381399999874
acid__wt_ph5__1,0.151085575375903,0.3455225730000002,-0.1956987549999996
acid__wt_ph5__2,0.2933392304771099,0.34313646300000045,-0.18646164299999854
acid__delgadx_ph5__2,0.3940824235036431,0.3393877130000007,-0.13421169299999747
acid__delgadw_ph5__1,0.0861688232683037,0.3838637929999997,-0.12537540299999872
acid__delgadw_ph5__2,0.0130019670506283,0.3398617829999999,-0.1533656119999982
acid__delgade_ph5__1,-0.103189618260136,0.432408723,-0.2574275779999988
acid__delgade_ph5__2,-0.0487948242763641,0.4824361929999999,-0.1006094029999991
oxidative__wt_pq__1,2.570068907044312,0.17662370300000066,-0.9765262169999982
oxidative__wt_pq__2,2.5531958270009025,0.24038529300000103,-0.964614168999999
oxidative__deloxyr_pq__1,2.2735358336124163,0.5131550130000004,-0.3881141479999988
oxidative__deloxyr_pq__2,2.077675004984686,0.5363373029999998,-0.3848333069999983
oxidative__delsoxr_pq__1,1.8538474142085837,0.3346725330000009,-0.9846600429999991
oxidative__delsoxr_pq__2,2.075793303571508,0.3870598730000001,-0.9532042179999988
oxidative__delsoxs_pq__1,2.331754574896728,0.5134629630000003,-0.8735455569999981
oxidative__delsoxs_pq__2,2.9876234369754378,0.5104807529999995,-1.019754784999999
nac_ntrc__wt_csn__1,0.6937855657600355,-0.0727968299999997,0.17289005600000085
nac_ntrc__wt_csn__2,0.6514697833678511,-0.09324395099999984,0.03603241200000085
nac_ntrc__wt_cytd__1,0.0692046773861499,-0.043119613,0.04106255800000192
nac_ntrc__wt_cytd__2,0.3862398016235011,-0.07348926000000056,0.16092060100000086
nac_ntrc__wt_gln__1,1.2229957244344292,0.16383650300000066,0.2114354080000016
nac_ntrc__wt_gln__2,1.1294307906873122,0.11651884599999995,0.3534981220000013
nac_ntrc__bw_delnac_csn__1,1.5581450653857962,0.16921202300000004,0.0006520390000002152
nac_ntrc__bw_delnac_csn__2,1.317781709551045,0.03216219000000109,0.4242275270000011
nac_ntrc__bw_delnac_cytd__1,0.3625343148155703,0.2936758630000007,0.19440740200000128
nac_ntrc__bw_delnac_cytd__2,0.3271451452725716,0.2286386530000009,0.14236733900000065
nac_ntrc__bw_delnac_gln__1,0.1717258276109199,0.5051051429999998,0.17365193500000142
nac_ntrc__bw_delnac_gln__2,0.2771238716007979,0.563775123000001,0.08538263000000068
nac_ntrc__bw_delnac_nh4__1,-0.0898240484632281,0.3391651030000009,-0.19584968699999816
nac_ntrc__bw_delnac_nh4__2,-0.3161931423987534,0.3602350630000011,-0.20481863299999856
misc__wt_no_te__1,0.8278562214480205,0.3221691629999999,-0.607946222999999
misc__wt_no_te__2,0.5693360926823472,0.3159875930000009,-0.5294753859999997
misc__bw_delcbl__1,0.3320459264375724,0.30577407300000026,-0.24112424099999966
misc__bw_delcbl__2,0.4588801199342719,0.3225694130000001,-0.3216691919999981
misc__bw_delfabr__1,0.1829554010548092,0.1944652930000004,-0.2141810539999991
misc__bw_delfabr__2,0.3941310738596386,0.13385438500000113,-0.34923250899999925
misc__bw_delfadr__1,0.1850339302198897,0.325118883,-0.3242617659999993
misc__bw_delfadr__2,0.3655088707519722,0.3434663330000003,-0.3048433899999994
misc__nitr_031__1,0.6652190900807605,0.2155988630000003,-0.3043750499999991
omics__wt_glu__1,-0.0690649494555699,0.3481259330000004,0.8757674100000008
omics__wt_glu__2,-0.0653671591470324,0.31989882300000083,0.9237816860000008
omics__wt_gly__1,-0.2472038880231498,0.3121818130000005,0.6397033870000008
omics__wt_gly__2,0.3819174015949826,0.3489800729999999,0.5011457540000004
omics__wt_thr__1,2.281072864106773,0.8835606830000007,0.4503244860000013
omics__wt_thr__2,1.9418315567925013,1.127551423,0.4947759360000008
omics__bw_ac__1,2.430051520228968,0.4643589929999994,-0.5159942019999981
omics__bw_ac__2,2.6630953508870645,0.4618822229999999,-0.2541266079999991
omics__bw_fum__1,1.898183214321344,0.446647853,-0.15908139999999893
omics__bw_fum__2,1.5018036469611615,0.4952586530000005,-0.0990085469999986
omics__bw_glc__1,-0.4284151463077152,0.31995135300000044,0.15384187400000027
omics__bw_glc__2,-0.2030841928977383,0.3609335930000004,0.19605686600000105
omics__bw_pyr__1,0.9229111863398984,0.8061810030000007,-0.002471704999999602
omics__bw_pyr__2,0.4158392888194459,0.7644674929999997,-0.10056584299999917
ompr__wt_nacl__1,2.065984474069714,-0.6865814769999989,-1.455250090999999
ompr__wt_nacl__2,2.5052870420936237,-0.620927,-1.066998653999999
ompr__bw_delompr_nacl__1,2.1841279310539745,-1.0462482019999992,-0.7984438319999985
ompr__bw_delompr_nacl__2,2.1378997865975418,-1.071490686999999,-0.7703351679999991
minspan__wt_ade__1,-0.6520872923517174,-0.09169608400000052,-0.5685405159999997
minspan__wt_glc__2,-0.1732454221478724,-0.17147671399999884,-0.4998272319999986
minspan__wt_glc__3,-0.8291979984278881,-0.2165117989999992,-0.643594617999999
minspan__wt_glc__4,-0.3387838585311694,-0.23779414300000035,-0.45029472399999904
minspan__wt_glc_anaero__1,-1.131586854583885,0.09730802400000016,-0.5801846389999987
minspan__wt_glc_anaero__2,-1.6414900878397622,0.0007891440000005191,-0.4766346089999986
minspan__wt_trp__1,0.8790069541224708,0.379309933,-1.5295386319999986
minspan__bw_delcra_glc__2,0.7081820660071483,0.2077464830000011,-0.5947931959999986
minspan__bw_delcra_trp__1,-0.1379710204485162,0.245706203000001,-0.9540498669999984
minspan__bw_delmntr__1,0.3259592405353704,0.3950805430000006,-0.6952550509999993
minspan__bw_delnac_ade__1,0.0438723967822555,0.005806081999999435,-1.1140794119999988
minspan__bw_delnac_glc__1,-0.6825524313473886,0.19238992300000035,-0.2688252099999993
cra_crp__wt_ac__1,2.419440431715969,0.7848307329999997,0.1932439560000008
cra_crp__wt_ac__2,2.9831053464676387,0.774460393,0.41276663500000144
cra_crp__wt_fru__1,4.252467916798787,0.3134937529999995,0.7204627970000006
cra_crp__wt_fru__2,3.7434758875101295,0.3732440629999996,0.4576786600000009
cra_crp__delcra_ac__1,2.6406569981737458,0.20535391299999967,-0.5202637529999992
cra_crp__delcra_ac__2,2.378252121205608,0.15922527300000056,-0.504430607999999
cra_crp__delcra_fru__1,0.2820671727739736,0.12650519299999985,-0.0713843909999996
cra_crp__delcra_fru__2,0.4454893157869721,0.1631474930000003,-0.29710158299999895
cra_crp__delcra_glc__1,0.2324057968743737,0.046791002000000866,-0.3495875749999993
cra_crp__delcra_glc__2,-0.1140715615680715,-0.014761103999999747,-0.3384734209999998
rpoB__wt_031__1,5.073222325154369,0.271760703,-0.6647581239999987
rpoB__wt_044__1,0.7963738591996531,0.2048586730000004,-0.02304727399999873
rpoB__wt_lb__1,3.568453290741439,0.2472729529999995,-0.5944311799999991
rpoB__wt_lb__2,3.894697733086128,0.2041545229999997,-0.8559365669999988
rpoB__rpoBE546V_031__1,1.791698318907337,0.4571714629999999,-0.2323256529999975
rpoB__rpoBE546V_044__1,1.750173441409296,0.37625628299999997,-0.3099585979999988
rpoB__rpoBE546V_lb__1,2.345644150061758,0.1174804819999995,-0.2791440829999985
rpoB__rpoBE546V_lb__2,2.403253879281044,0.1254229630000001,-0.28484749699999856
rpoB__rpoBE546V_glc__1,-0.4769504244676824,-0.004082425000000001,-0.2854399399999989
rpoB__rpoBE672K_glc__1,0.176591848856898,-0.6662891799999997,-0.4528939499999991
rpoB__rpoBE672K_glc__2,-0.0015279352419296,-0.5708984560000001,-0.6902272289999987
rpoB__rpoBE672K_lb__1,1.2206564204412864,-0.2288451829999989,-0.5473937109999998
rpoB__rpoBE672K_lb__2,1.9486413562384484,-0.18410035800000024,-0.8455406859999997
crp__wt_fru__1,2.8010902333170677,-0.13483747499999946,-0.5215661759999994
crp__wt_glyc__1,21.25363787084853,-0.06971342199999953,-0.3471646239999986
crp__wt_glyc__2,21.532851095723057,0.000271048000000107,-0.24303640299999876
crp__delar1_glyc__1,19.27411954158084,0.7684826630000003,-0.3604129539999992
crp__delar1_glyc__2,20.88310967170271,0.9809746629999996,-0.4852276899999994
crp__delar1ar2_glyc__1,12.460961112108487,0.2916550830000002,0.3865184480000013
crp__delar1ar2_glyc__2,12.53114316677908,0.2567226429999998,0.5116414890000014
crp__delar1ar2_glyc__3,12.871743223421088,0.37124749300000026,0.4584535790000004
crp__delar2_glyc__1,20.73994356435388,1.4298253029999994,-0.6115062219999983
crp__delar2_glyc__2,20.83264081685687,1.3004454830000007,-0.6001140269999983
crp__delar2_glyc__3,20.62516612975185,1.2369035230000005,-0.36597938599999935
crp__delcrp_fru__1,4.210480874720737,-9.852476477,-0.20109159899999884
crp__delcrp_fru__2,4.193829120802846,-9.107951936000001,-0.1457251889999993
crp__delcrp_fru__3,4.196490055952567,-9.852476477,-0.09362921099999966
crp__delcrp_glc__1,4.158700887082973,-9.025871704,-0.019589273999999438
crp__delcrp_glc__2,4.263262760026561,-9.566616581,0.038948896000000836
crp__delcrp_glc__3,4.10503683716331,-9.852476477,-0.06549150699999817
crp__delcrp_glyc__1,11.464897743069375,-9.852476477,0.07699945700000121
crp__delcrp_glyc__2,11.466402799290044,-9.852476477,0.13166809000000068
crp__delcrp_glyc__3,11.29752229184842,-9.852476477,0.24154961100000086
glu__glu_ale3__1,1.223837022083282,1.4385551630000002,-0.4626942969999988
glu__glu_ale4__1,-0.0592107836673848,0.1237046330000009,0.254078315000001
glu__glu_ale5__1,1.002580488080417,0.23737495299999975,-0.14303950799999754
glu__glu_ale6__1,-0.0251671506202684,-0.2669721739999993,0.05646099400000092
glu__glu_ale8__1,1.1185993593371948,1.5517659029999995,-0.018134137999998856
glu__glu_ale9__1,1.1024255105356435,0.736260553000001,-0.2010808009999998
glu__glu_ale10__1,0.0029406188795684,1.2484999630000004,-0.3244125829999991
42c__wt_42c__1,-0.0470602471929161,-0.02289376299999901,-0.15673336099999968
42c__42c_ale1__1,1.0530024210122069,0.578078713,-0.6357146059999996
42c__42c_ale2__1,-0.4098325039926553,-0.001157444000000396,0.2575166920000012
42c__42c_ale3__1,0.1195918237568195,-0.16365086199999898,0.5834224080000014
42c__42c_ale4__1,0.9123330858441088,0.18829674300000046,-0.4004204679999992
42c__42c_ale5__1,0.3720770900738658,-0.2550904079999992,0.09837093600000113
42c__42c_ale6__1,2.744852685596505,0.5847098129999999,0.1160720880000019
42c__42c_ale8__1,0.665162214767203,0.898060053,-0.33018744199999883
42c__42c_ale9__1,0.2751647894074925,0.2344509129999999,0.4750394230000019
42c__42c_ale10__1,0.0810237365676542,0.5824345429999997,-0.7100532729999989
ssw__wt_ac__1,0.7596225031003417,0.155824183,-1.0703069579999989
ssw__wt_glc__1,-1.127420915243823,0.08995910700000033,-0.004943353999999012
ssw__wt_glyc__1,22.65169525764501,0.2646295629999997,-0.3712341129999989
