,mdtH
Cr_1,-0.005172393032477667
Cr_2,-0.006021861979299428
Cr_3,-0.0049572909116104655
Cr_4,-0.006290990409008935
Cr_5,-0.01037742793461452
Cr_6,-0.012188504565155512
Fe_1,-0.004705851638624113
Fe_2,-0.012848832678367336
Fe_3,-0.019041507076250727
Fe_4,-0.024254362307661752
Fe_5,-0.021775958582629845
Fe_6,-0.014058909084613542
Cd_1,0.0042069536255045226
Cd_2,0.00784454892196812
Cd_3,0.01350145815937687
Cd_4,0.018825414395048395
Cd_5,0.018902936990886115
Cd_6,0.023669190083856064
Zn_1,-0.007961443847272591
Zn_2,-0.01591566699674891
Zn_3,-0.020366004172275482
Zn_4,-0.025862367648791813
Zn_5,-0.03638032568690722
Zn_6,-0.0492297442208374
Cu_1,0.007763217342819374
Cu_2,0.013145393101115841
Cu_3,0.016374201505703522
Cu_4,0.02159366839414768
Cu_5,0.027039234994778588
Cu_6,0.031261540231246006
Pb_1,0.008595990477276536
Pb_2,0.01550162623116476
Pb_3,0.02344554983194239
Pb_4,0.032551716242530636
Pb_5,0.04022682469783658
Pb_6,0.0463153786875634
