,A,CysB
R2,,0.04401357067163736
xmin,,-1.8360526829119916
xmid,,-0.44483924239955175
xmax,,2.6092580200000004
ystart,,1.8167130480881828
yend,,-0.8325909155759956
control__wt_glc__1,-0.0398829071994318,0.009402596000000152
control__wt_glc__2,0.0398829071994263,-0.009402596000000152
fur__wt_dpd__1,0.4586137542780638,-0.23309463799999894
fur__wt_dpd__2,0.7538225385408017,-0.17926771999999944
fur__wt_fe__1,1.0428814350249274,0.18680518700000093
fur__wt_fe__2,1.0002031686245043,0.2832474850000004
fur__delfur_dpd__1,0.2627476814886274,-0.3246743859999999
fur__delfur_dpd__2,0.617318630500556,-0.13718796599999994
fur__delfur_fe2__1,0.8245713520251298,0.32699023500000024
fur__delfur_fe2__2,0.9352146778986964,0.26560284099999976
acid__wt_ph5__1,0.885033324699276,0.2631528940000001
acid__wt_ph5__2,0.9571486510274388,0.23572132199999984
acid__delgadx_ph5__2,1.482819002412913,0.07355053100000042
acid__delgadw_ph5__1,0.2034608669828264,0.3156576210000006
acid__delgadw_ph5__2,0.3002723576624701,0.4119640120000003
acid__delgade_ph5__1,0.6257186400191718,0.4125348100000004
acid__delgade_ph5__2,0.5254505041403732,0.2437835210000001
oxidative__wt_pq__1,-1.1084821253766697,-0.8892644689999996
oxidative__wt_pq__2,-1.5165300760060203,-0.6999358020000006
oxidative__deloxyr_pq__1,-2.0658393645765343,-0.6205644239999994
oxidative__deloxyr_pq__2,-2.7178395390623185,-0.6056304309999998
oxidative__delsoxr_pq__1,-0.8948023707631773,-0.6947309559999999
oxidative__delsoxr_pq__2,-0.536344994777539,-0.5630371539999999
oxidative__delsoxs_pq__1,-0.7688725447061426,-0.7084298329999994
oxidative__delsoxs_pq__2,-1.1004084160798888,-0.6544912470000002
nac_ntrc__wt_csn__1,0.5336107340655729,0.007599514999999891
nac_ntrc__wt_csn__2,0.7857400687330544,0.13775542299999974
nac_ntrc__wt_cytd__1,0.3202955442825377,0.19756097199999975
nac_ntrc__wt_cytd__2,-0.1115165091697395,0.17715900399999995
nac_ntrc__wt_gln__1,-0.2410394871414299,0.0943164310000002
