,ybjJ
Cr_1,0.0035002309568914164
Cr_2,0.0037492051650316813
Cr_3,0.010266243391836323
Cr_4,0.01713686213582202
Cr_5,0.024753472748096386
Cr_6,0.032461904677996214
Fe_1,-0.009753774834776073
Fe_2,-0.022101623881315213
Fe_3,-0.031541885227824716
Fe_4,-0.04108914743390227
Fe_5,-0.05025557810526381
Fe_6,-0.05789747869705559
Cd_1,0.0038250735039075134
Cd_2,0.005497441453349933
Cd_3,0.0058049002741857245
Cd_4,0.0058029425134528976
Cd_5,0.0041184119350630285
Cd_6,0.008771285935766083
Zn_1,-0.003055990548322944
Zn_2,-0.007186585924666286
Zn_3,-0.005348853875661006
Zn_4,-0.0006495644419791126
Zn_5,0.0045941288803275524
Zn_6,0.012194181474288574
Cu_1,0.00867687503380694
Cu_2,0.01869573930470149
Cu_3,0.02846821927675292
Cu_4,0.04013808174434502
Cu_5,0.05297329499691943
Cu_6,0.06575825697698558
Pb_1,0.006724040796068584
Pb_2,0.014957640302155663
Pb_3,0.0252122697467572
Pb_4,0.03454693897088592
Pb_5,0.04893730374166637
Pb_6,0.06482591624018247
