,gcvP
Cr_1,0.0028794583823352963
Cr_2,0.010703807036823386
Cr_3,0.014695542660529496
Cr_4,0.016754421893239852
Cr_5,0.025827427885494445
Cr_6,0.025872321349362383
Fe_1,-0.01678913564136345
Fe_2,-0.02542718842264841
Fe_3,-0.02714234060833729
Fe_4,-0.028314239145191912
Fe_5,-0.01799323601468707
Fe_6,-0.009313629660820126
Cd_1,-0.0017327153161561706
Cd_2,-0.0033141560164206673
Cd_3,0.0008640386534127217
Cd_4,0.0045991482964821565
Cd_5,0.00019191676903910584
Cd_6,0.001392336110744051
Zn_1,0.007023427883110116
Zn_2,0.02480762737542069
Zn_3,0.05830983153379685
Zn_4,0.1015239046418538
Zn_5,0.14948889702027635
Zn_6,0.18228136624589664
Cu_1,0.0014092105769274966
Cu_2,0.006159353422254738
Cu_3,0.013343256280388271
Cu_4,0.016746197766940925
Cu_5,0.02159653535389627
Cu_6,0.028910772939096076
Pb_1,0.0048203428737457294
Pb_2,0.0066759382057720845
Pb_3,0.021917786648331217
Pb_4,0.03510624294159136
Pb_5,0.03641528613242925
Pb_6,0.05035403307218314
