,-0.06292743921759998,-0.03146371960879999,0.0,0.0314637196088,0.06292743921759998,0.09439115882639997,0.1258548784352,0.15731859804399995,0.18878231765279996,0.22024603726159997,0.2517097568703999,0.28317347647919994,0.31463719608799995,0.3461009156967999,0.3775646353055999,0.40902835491439987,0.4404920745231999,0.4719557941319999,0.5034195137407999,0.5348832333495998
thresh,-0.04719557941319999,0.04719557941319999,6,,,,,,,,,,,,,,,,,
unreg,0,76,3720,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gadX,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gadE,0,0,21,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gadX and gadE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gadX and gadW,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gadX, gadE, and gadW",1,1,0,0,2,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0
unreg_genes,[],[],[],[],['aidB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
gadX_genes,[],[],"['lon' 'ynfB' 'blr' 'rspB' 'hns' 'yfaL' 'speG' 'asnB' 'btuB' 'murI' 'cadB'
 'ydeN' 'metK' 'rpoS' 'uspB' 'gcvP' 'gcvH' 'uspD' 'gcvT' 'dtpA' 'yiiS'
 'uspA' 'nhaR' 'amtB' 'uspE' 'cadA']",['asr' 'rspA' 'glnK'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
gadE_genes,[],[],"['gltF' 'yjtD' 'gnd' 'rcsA' 'lpxD' 'gltD' 'fabZ' 'lpxA' 'purA' 'gltB'
 'dcuC' 'lrp' 'skp' 'fliC' 'cyoE' 'asnC' 'cyoD' 'cyoC' 'cyoA' 'cyoB'
 'iraP']",['yjbR' 'yjbQ' 'cnu'],['yjjU'],[],[],['yhiM'],[],[],[],[],[],[],[],[],[],[],[],[]
gadX and gadE_genes,[],[],[],[],[],[],[],[],[],[],[],['hdeD'],[],[],[],[],[],[],[],[]
gadX and gadW_genes,[],[],[],['ybaT'],['glsA' 'dctR'],['slp'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"gadX, gadE, and gadW_genes",['gadW'],['gadX'],[],[],['mdtF' 'mdtE'],[],[],[],[],[],[],['gadC' 'yhiD' 'hdeA'],['gadB' 'gadA'],['hdeB'],['gadE'],[],[],[],[],[]
