,A,GadE,GadX,GadW
R2,,0.9215373620837624,0.6144103950540944,0.47552156258974576
xmin,,0.0,0.0,0.0
xmid,,1.8521285949925332,5.281291416064537,
xmax,,10.7532474072,10.7199149166,10.3716293834
ystart,,-15.48778785042694,-14.656273619984802,-26.957152705958535
yend,,11.63067354681483,9.67234620704059,10.382708309590114
control__wt_glc__1,0.1514206266,6.9804966946,8.6145422615,7.068040429
control__wt_glc__2,-0.1514206266,6.5588704662,8.4566289393,6.9661842997
fur__wt_dpd__1,8.2943120498,9.2500237324,8.3913470043,7.0728829243
fur__wt_dpd__2,8.7147392044,9.3207662987,8.1802043696,6.8412241786
fur__wt_fe__1,1.0198421481,6.5538288821,8.1429902546,7.2118042714
fur__wt_fe__2,0.8333188485,6.5558245874,8.1378359358,7.0838835181
fur__delfur_dpd__1,10.0297663122,9.5215984611,8.8078332574,7.6086979875
fur__delfur_dpd__2,10.7346971135,9.5661995553,8.974779899,7.5166054402
fur__delfur_fe2__1,-0.0659826094,6.8067434181,8.2248848659,6.6151566196000005
fur__delfur_fe2__2,-0.1222841846,6.9743457818,8.1512759992,6.6745135167
acid__wt_ph5__1,7.1831999721,8.936759500400001,9.2353508389,8.2359070292
acid__wt_ph5__2,7.3238129737,9.08737514,9.1706601339,8.2717287804
acid__delgadx_ph5__1,6.2647592874,8.448678093,0.0,10.3716293834
acid__delgadx_ph5__2,6.4517655656,8.502957114600001,0.0,10.3455700972
acid__delgadw_ph5__1,8.8308631009,9.3634003973,9.5604371873,1.1778973893
acid__delgadw_ph5__2,8.7206304859,9.3110980311,9.528986511,0.0
acid__delgade_ph5__1,-12.9420962503,0.3646210058,9.1219019302,8.3691264414
acid__delgade_ph5__2,-12.7550769325,0.0,9.0997019091,8.1774718725
oxidative__wt_pq__1,5.4513312924,8.3728088403,7.4476889129,6.7665034137
oxidative__wt_pq__2,5.1454013792,8.0845562824,7.3859367701,6.6482237594
oxidative__deloxyr_pq__1,4.0499487045,8.0998453066,7.9607841146,6.8852472828
oxidative__deloxyr_pq__2,4.3348603355,8.3643764612,7.9809215356,6.8408896214
oxidative__delsoxr_pq__1,7.6945575424,9.0377609598,7.3901517513,6.823374604
oxidative__delsoxr_pq__2,7.2146058907,8.7377252914,7.4765007965,6.901079743
oxidative__delsoxs_pq__1,7.2800002036,9.2148293216,7.8462687146,7.368644225
oxidative__delsoxs_pq__2,7.5598839393,9.2193271793,7.7914084533,7.2332961508
nac_ntrc__wt_csn__1,7.414878107,9.4516052248,9.3863168364,6.8693542876
nac_ntrc__wt_csn__2,7.1199894817,9.3990609466,9.3032160507,6.8276552763
nac_ntrc__wt_cytd__1,-5.95830685,4.8280964786,7.8445928781,7.7441145144
nac_ntrc__wt_cytd__2,-6.1787718448,4.8163006512,7.9421920851,7.6813602742
nac_ntrc__wt_gln__1,6.7480601457,9.2874747017,9.4091037728,8.3977692955
nac_ntrc__wt_gln__2,6.587252143,9.2861284699,9.3330076198,8.2413882564
nac_ntrc__bw_delnac_csn__1,4.8234554798,8.5278086175,8.8668556058,6.3883539922
nac_ntrc__bw_delnac_csn__2,1.8871280326000002,5.1969794664,7.8249396838,5.5129165331
nac_ntrc__bw_delnac_cytd__1,-0.7071587776,6.2510774598,8.4353851255,7.6260208659
nac_ntrc__bw_delnac_cytd__2,-0.4901769379,6.3110922224,8.382879784,7.641016614
nac_ntrc__bw_delnac_gln__1,9.4749826043,9.1576228203,9.5786211994,8.6718458682
nac_ntrc__bw_delnac_gln__2,9.6778019005,9.312812728699999,9.7178633969,8.6150066328
nac_ntrc__bw_delnac_nh4__1,-2.6703670433,5.5656700731,7.775597201,6.2951942122
nac_ntrc__bw_delnac_nh4__2,-2.4588179513,5.1464988999,7.6468858685,6.4595934338
misc__wt_no_te__1,5.9047646457,8.3329399627,8.8370230264,7.8344016471
misc__wt_no_te__2,3.5925215852,7.7715173961,8.5713007924,7.528074088
misc__bw_delcbl__1,-2.2585804082,6.0150934529,7.5202851189,6.3570298303
misc__bw_delcbl__2,-2.2185418252,6.177867752,7.7853828276,6.5124486234
misc__bw_delfabr__1,-6.0735599939,4.6163132259,6.4892312571,5.4703211135
misc__bw_delfabr__2,-6.4895128623,4.8310687269,6.3302786997,5.5498459222
misc__bw_delfadr__1,-2.4743935097,6.2071996042,7.9824196213,6.7849631298
misc__bw_delfadr__2,-2.3719485861000003,6.0706845414,7.924585132,6.866932752
misc__nitr_031__1,10.6354958897,9.6943730001,9.4290050692,8.3551303487
omics__wt_glu__1,-0.123001332,6.939940526,8.8716660242,8.8266546214
omics__wt_glu__2,-0.6663275999,6.785616116,8.5454498735,8.6147593932
omics__wt_gly__1,2.5690880354,7.0697099554,8.6344203461,8.388467931
omics__wt_gly__2,2.6522183229,7.0939621124,8.6316693584,8.4271760398
omics__wt_thr__1,7.0429389272,9.7580918398,10.1160324133,9.0699227492
omics__wt_thr__2,8.0635397386,9.7763855276,10.265612049,9.2341658444
omics__bw_ac__1,-4.0843539006,6.3179240152,7.9080837794,6.7756794739
omics__bw_ac__2,-4.1836020841,6.1975766267,8.1266251617,6.7221323461
omics__bw_fum__1,-11.286418614,3.6875510748,6.6457449598,5.2783282695
omics__bw_fum__2,-10.6560027326,4.0181625189,6.7819783401,4.7191029739
omics__bw_glc__1,-4.1317069695,6.0542984534,8.077474017,6.6928397361
omics__bw_glc__2,-4.394935343,6.0932756808,7.9904456423,6.6261788388
omics__bw_pyr__1,-11.7353544767,3.9535702864,7.5316926917,5.6302172785
omics__bw_pyr__2,-11.6061000406,4.1750089176,7.5474584647,5.5985952519
ompr__wt_nacl__1,3.7181405871,8.3741498673,10.4387425733,8.9660342302
ompr__wt_nacl__2,4.1392467258,8.4100393019,10.5246204725,8.9083406444
ompr__bw_delompr_nacl__1,-3.2921905197,5.942357825,10.7199149166,8.910843055
ompr__bw_delompr_nacl__2,-3.2178574131,5.7909415940999995,10.6766844758,8.8593892447
minspan__wt_ade__1,-1.1403792646,6.5375425139,9.1781051308,8.5385527886
minspan__wt_glc__1,1.6023709863,7.4608664484,8.2857162353,7.6473162942
minspan__wt_glc__2,1.6988732737999999,7.2402602742,8.4132998499,7.9623160763000005
minspan__wt_glc__3,1.3177976298,7.1543293842,8.377122998,7.826388777
minspan__wt_glc__4,1.1634327728,6.8745916403,8.2873214588,7.7090876312
minspan__wt_glc_anaero__1,3.4557777567,8.5649168816,8.8695869427,8.6655509706
minspan__wt_glc_anaero__2,4.1952656287,8.2249943091,8.6451543367,8.4037159442
minspan__wt_trp__1,2.4057133983,8.245068166,8.6062149057,7.2663815924
minspan__bw_delcra_glc__1,0.9995787582000001,8.2048538828,9.238065253,8.1044697039
minspan__bw_delcra_glc__2,0.7934107755,8.0730125641,9.2235701939,8.0378282144
minspan__bw_delcra_trp__1,2.5193657099999998,8.409640248,9.539019795,8.1835500568
minspan__bw_delmntr__1,-9.3365194813,4.2516030042,6.1566402211,5.9148947414
minspan__bw_delnac_ade__1,1.3059553459,6.2354666588,8.4829624366,7.0571794402
minspan__bw_delnac_glc__1,-2.2424932015,7.4864583015,8.9142986937,8.0715616956
cra_crp__wt_ac__1,5.213051961,7.9279177678,8.7584424046,8.2635445178
cra_crp__wt_ac__2,5.2152953824,7.7708011983,8.6851282191,8.2560377528
cra_crp__wt_fru__1,-1.8782807520000002,5.6591097505,7.9551561229,7.5579843927
cra_crp__wt_fru__2,-1.8687995192,5.9919637464,8.259565418,7.7173006907
cra_crp__delcra_ac__1,-0.6698364048000001,7.0274881478,8.2269038317,6.6557141126
cra_crp__delcra_ac__2,-1.0690114667,6.7506808043,8.0499904492,6.6589092682
cra_crp__delcra_fru__1,7.5609425306,8.79534254,9.1413900884,8.2438429471
cra_crp__delcra_fru__2,6.8981409409,8.7312142265,8.910714868,8.3293028688
cra_crp__delcra_glc__1,1.7640641645000001,7.0805287088,8.2530191837,7.1537243036
cra_crp__delcra_glc__2,1.3831414548,7.240906745,8.341986755,7.1546429553
rpoB__wt_031__1,-3.9266359764,5.446001117,7.5084605162999996,6.5368415451
rpoB__wt_044__1,5.3442497946,7.3934919323,8.4427336981,8.1026001193
rpoB__wt_lb__1,2.8510048055,6.9195031872,8.4136702107,7.3436677752
rpoB__wt_lb__2,2.8818262879,7.0331010753,8.3834959021,7.2922541138
rpoB__rpoBE546V_031__1,-1.4440438187,6.1052624937,8.1013786235,7.3001785773
rpoB__rpoBE546V_044__1,-0.5994073815000001,6.6228756726,8.3200360604,7.4653282516
rpoB__rpoBE546V_lb__1,-12.7925033791,0.0,6.8873696351,6.209328937
rpoB__rpoBE546V_lb__2,-11.9362735402,0.8575088540000001,6.6780012819,5.6219073084
rpoB__rpoBE546V_glc__1,-7.3787462111,3.3766447837999998,7.5801730139,7.1683485511
rpoB__rpoBE672K_glc__1,-14.6566155151,0.0,6.2493959426,5.8292894184
rpoB__rpoBE672K_glc__2,-14.1999113029,0.9138963951,6.1309239822,5.2780099705
rpoB__rpoBE672K_lb__1,-15.8161300295,1.1855729528,4.9635476939,4.6446451458
rpoB__rpoBE672K_lb__2,-17.0502306921,0.0,4.7573626291,5.0651822263
crp__wt_fru__1,-4.5522556595,5.4918276541,7.4675492072,5.845410816
crp__wt_glyc__1,-8.8792248882,4.1260252807,6.3544050005,4.9458237014
crp__wt_glyc__2,-8.888029023,4.0213478552,6.6160700222,5.104808887
crp__delar1_glyc__1,-2.9848649865,6.3535154719,8.2102191337,6.2292956186
