,A,BasR
R2,,0.19430592826635562
xmin,,-2.432550671
xmid,,-0.8436448096673044
xmax,,2.112470233
ystart,,-1.5908054352161654
yend,,5.012590054795994
control__wt_glc__1,-0.3966355728,0.12579705700000002
control__wt_glc__2,0.3966355728,-0.12579705700000002
fur__wt_dpd__1,1.8805703708000001,0.638463302
fur__wt_dpd__2,1.8178809722,0.78198625
fur__wt_fe__1,0.8379159664,-0.313534189
fur__wt_fe__2,0.4239055591,-0.44303303800000005
fur__delfur_dpd__1,1.6551524356,0.580348423
fur__delfur_dpd__2,1.2376878183,0.46509844100000003
fur__delfur_fe2__1,0.27184267300000003,0.161149871
fur__delfur_fe2__2,0.1195023759,0.212933471
acid__wt_ph5__1,1.5699544048,0.35300585500000004
acid__wt_ph5__2,1.4467984178,0.216072954
acid__delgadx_ph5__2,2.440840967,0.150603852
acid__delgadw_ph5__1,3.0241655454,0.28917133100000003
acid__delgadw_ph5__2,2.8010404893,0.5012949640000001
acid__delgade_ph5__1,1.377591429,0.161289503
acid__delgade_ph5__2,1.2236748246,0.20872923300000001
oxidative__wt_pq__1,1.1454712344,1.483156371
oxidative__wt_pq__2,0.835237859,1.456662307
oxidative__deloxyr_pq__1,0.5380822751000001,1.60976741
oxidative__deloxyr_pq__2,0.7484451385,1.524032128
oxidative__delsoxr_pq__1,0.9974209785,1.039943573
oxidative__delsoxr_pq__2,1.5784804251,0.9555797130000001
oxidative__delsoxs_pq__1,1.1489754508,1.683834078
oxidative__delsoxs_pq__2,1.2343780857,1.764109535
nac_ntrc__wt_csn__1,2.5329624862999998,0.400098777
nac_ntrc__wt_csn__2,2.0745041743,0.47687145700000005
nac_ntrc__wt_cytd__1,3.3783338256,0.716168012
nac_ntrc__wt_cytd__2,2.9539284252,0.596569874
nac_ntrc__wt_gln__1,5.7266469797,1.3198489690000001
nac_ntrc__wt_gln__2,5.3531443869,1.140578279
nac_ntrc__bw_delnac_csn__1,1.9537897917,0.48101235200000003
nac_ntrc__bw_delnac_csn__2,1.9367127493,0.534629017
nac_ntrc__bw_delnac_cytd__1,2.5340839269,0.06739537100000001
nac_ntrc__bw_delnac_cytd__2,2.7891727898000003,0.308753345
nac_ntrc__bw_delnac_gln__1,3.8525984994,0.5002348950000001
nac_ntrc__bw_delnac_gln__2,3.7171881344,0.622012899
nac_ntrc__bw_delnac_nh4__1,-0.5849252151000001,-0.6078434220000001
nac_ntrc__bw_delnac_nh4__2,-0.2896319557,-0.8332628240000001
misc__wt_no_te__1,1.2522545898,0.467756235
misc__wt_no_te__2,-0.2600953954,-0.069293045
misc__bw_delcbl__1,-0.18160497350000002,-0.201485129
misc__bw_delcbl__2,-0.40700394710000004,0.0036497670000000004
misc__bw_delfabr__1,-1.6593654223,-0.5109368830000001
misc__bw_delfabr__2,-1.6313487004,-0.41646381600000004
misc__bw_delfadr__1,-0.4554509238,-0.082163624
misc__bw_delfadr__2,0.13471169400000002,-0.07012762800000001
misc__nitr_031__1,0.9876580081,0.165595941
omics__wt_glu__1,1.1241342318,-0.18302890400000002
omics__wt_glu__2,1.3532831204,-0.330518329
omics__wt_gly__1,-0.1762244917,-0.383851198
omics__wt_gly__2,0.0913586873,-0.379672954
omics__wt_thr__1,1.7099460454000002,0.550960097
omics__wt_thr__2,1.6469777313,0.46994148700000005
omics__bw_ac__1,2.8288860033,0.605264629
omics__bw_ac__2,1.2700131608,0.623512512
omics__bw_fum__1,-0.8526155569,-0.264190735
omics__bw_fum__2,-0.6806552861,-0.11727796600000001
omics__bw_glc__1,-0.8244862596,0.15213077
omics__bw_glc__2,-0.6603093781,-0.046132141
omics__bw_pyr__1,1.4021407155,0.092282309
omics__bw_pyr__2,0.775866108,0.49243234
ompr__wt_nacl__1,6.5333370648999995,0.5277788990000001
ompr__wt_nacl__2,6.3604406309,0.621969177
ompr__bw_delompr_nacl__1,7.2072396432,0.19733920700000002
ompr__bw_delompr_nacl__2,7.4717793383,0.311903619
minspan__wt_ade__1,2.401010434,-0.24205309300000002
