,0.0,0.11674242300000001,0.23348484600000002,0.350227269,0.46696969200000005,0.5837121150000001,0.700454538,0.817196961,0.9339393840000001,1.0506818070000001,1.1674242300000002,1.2841666530000002,1.400909076,1.517651499,1.634393922,1.7511363450000001,1.8678787680000002,1.9846211910000002,2.1013636140000003,2.218106037
thresh,-0.058371211500000006,0.058371211500000006,2,,,,,,,,,,,,,,,,,
unreg,4194,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BtsR,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],['yjiA' 'yjiX'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
BtsR_genes,"['pdhR' 'csgG' 'csgB' 'csgF' 'csgA' 'mdh' 'csgE' 'yobF' 'csgD' 'csgC'
 'cspC' 'lpd' 'aceE']",['aceF'],[],[],[],[],[],['btsT'],[],[],[],[],[],[],[],[],[],[],[],[]
