,A,BtsR
R2,,0.020032714573101074
xmin,,-4.8343927655000005
xmid,,0.8709380191205354
xmax,,2.0558524395
ystart,,2.758310806601674
yend,,6.319256170694241
control__wt_glc__1,0.041225812800000004,-0.030428714500000002
control__wt_glc__2,-0.041225812800000004,0.030428714500000002
fur__wt_dpd__1,2.7138226377,-0.8834644935
fur__wt_dpd__2,1.0941978378,-0.9988224215
fur__wt_fe__1,1.7064518996,-0.2289080135
fur__wt_fe__2,0.5583572229,-0.3180537375
fur__delfur_dpd__1,5.0238325381,-0.5710975955
fur__delfur_dpd__2,5.2519979132,-0.6268760275
fur__delfur_fe2__1,0.6376956523,-0.1238448285
fur__delfur_fe2__2,1.0385202805,-0.38736219850000003
acid__wt_ph5__1,5.1618151135,-0.0055871365
acid__wt_ph5__2,5.0170947147,-0.0464852105
acid__delgadx_ph5__2,4.7594813028,0.0290192295
acid__delgadw_ph5__1,4.7530647447,0.1555294585
acid__delgadw_ph5__2,4.2192225449,-0.1696210985
acid__delgade_ph5__1,4.9998639843,-0.0114852465
acid__delgade_ph5__2,5.1085035222,0.1837235605
oxidative__wt_pq__1,0.49898099430000004,-0.7754807875
oxidative__wt_pq__2,0.3557323484,-0.6519271775000001
oxidative__deloxyr_pq__1,0.5711213448,-0.6496301435
oxidative__deloxyr_pq__2,0.4479166114,-0.6936894945000001
oxidative__delsoxr_pq__1,1.1869337043,-0.6605761675
oxidative__delsoxr_pq__2,0.8026646419,-0.5743270965
oxidative__delsoxs_pq__1,0.6563362719,-0.7462437495
oxidative__delsoxs_pq__2,0.6738585272000001,-0.5246088725
nac_ntrc__wt_csn__1,-0.5345837232,-0.7331625605000001
nac_ntrc__wt_csn__2,-0.1801584735,-0.6948758355
nac_ntrc__wt_cytd__1,-0.28315164200000004,-0.7579426125000001
nac_ntrc__wt_cytd__2,-0.5825880223000001,-0.8039465935000001
nac_ntrc__wt_gln__1,-0.5915335773,-0.8086718015000001
nac_ntrc__wt_gln__2,-0.3780892581,-0.7356018065000001
nac_ntrc__bw_delnac_csn__1,1.3883206153,-0.0557499605
nac_ntrc__bw_delnac_csn__2,1.9323750139,-0.3775662065
nac_ntrc__bw_delnac_cytd__1,-0.09799552900000001,-0.2824232345
nac_ntrc__bw_delnac_cytd__2,0.25675093190000003,-0.1412460985
nac_ntrc__bw_delnac_gln__1,0.5335899001000001,-0.6042938115
nac_ntrc__bw_delnac_gln__2,0.37238297600000003,-0.3686735245
nac_ntrc__bw_delnac_nh4__1,0.7960264442,0.010371337500000001
nac_ntrc__bw_delnac_nh4__2,0.5740338186,-0.2652228265
misc__wt_no_te__1,-0.0941527196,-0.3068806625
misc__wt_no_te__2,-0.14702796740000001,-0.4729037855
misc__bw_delcbl__1,0.1578748996,0.3194014995
misc__bw_delcbl__2,0.40800377050000003,0.2438202095
misc__bw_delfabr__1,0.8189298431,0.38456816850000003
misc__bw_delfabr__2,0.5152047634,0.28671190150000003
misc__bw_delfadr__1,0.1955299537,-0.1785286505
misc__bw_delfadr__2,0.2478143117,-0.043567376500000005
misc__nitr_031__1,2.6344060841,-0.5931653355000001
omics__wt_glu__1,0.8331405339,-0.5825948125
omics__wt_glu__2,0.9894521171,-0.1194545875
omics__wt_gly__1,1.086886951,-0.3997597665
omics__wt_gly__2,0.5531014912000001,-0.5585283145000001
omics__wt_thr__1,1.4304974551,-0.16470919850000001
omics__wt_thr__2,1.3189667060999999,-0.3027200595
omics__bw_ac__1,2.1033218766,1.6220064175000002
omics__bw_ac__2,1.1001869128,1.4272188125
omics__bw_fum__1,0.2869498254,1.4606617035
omics__bw_fum__2,0.4231970501,1.2816211345
omics__bw_glc__1,-0.5283560008,0.1233455175
omics__bw_glc__2,-0.2686917981,0.0979981815
omics__bw_pyr__1,10.7555612228,1.7395990015
omics__bw_pyr__2,10.5385804209,1.7183728515
ompr__wt_nacl__1,-0.7893286460000001,-1.1563843635
ompr__wt_nacl__2,-1.3444824918,-1.6205879505
ompr__bw_delompr_nacl__1,-0.7686125341000001,-1.4762248445
ompr__bw_delompr_nacl__2,-0.9233226708000001,-1.5660195685
minspan__wt_ade__1,5.4767032570000005,-0.4595413875
minspan__wt_glc__2,-0.0017242124,-0.6389207845
minspan__wt_glc__3,-0.3071276576,-0.2417250525
minspan__wt_glc__4,0.20963200410000002,-0.25068625850000004
minspan__wt_glc_anaero__1,6.8628723353000005,-0.4027397935
minspan__wt_glc_anaero__2,7.5889109597,-0.43985643150000003
minspan__wt_trp__1,1.1846448977,1.0207633205
minspan__bw_delcra_glc__2,5.5694845429,0.26776881750000003
minspan__bw_delcra_trp__1,4.6708746061,0.6516471905
minspan__bw_delmntr__1,1.5128292152,0.8749943085
minspan__bw_delnac_ade__1,4.9550460084,0.26363376250000004
minspan__bw_delnac_glc__1,7.2434076016,-0.0471384615
cra_crp__wt_ac__1,0.9930572949,0.9081226345000001
cra_crp__wt_ac__2,1.5644170792,0.7592637795
cra_crp__wt_fru__1,1.1782477435,0.48958372050000004
cra_crp__wt_fru__2,1.2898413337,0.4599132785
cra_crp__delcra_ac__1,0.4079919784,2.0558524395
cra_crp__delcra_ac__2,0.43881873390000004,2.0454693455
cra_crp__delcra_fru__1,6.3468408222,-0.4885821255
cra_crp__delcra_fru__2,6.4958975082,-0.36473696250000004
cra_crp__delcra_glc__1,0.9390792587000001,-0.2236883895
cra_crp__delcra_glc__2,1.3287923335,-0.023797737500000003
rpoB__wt_031__1,0.8199467063,0.6884255335
rpoB__wt_044__1,3.7682342014,-0.5611728505
rpoB__wt_lb__1,0.48315650920000003,0.8679233385
rpoB__wt_lb__2,0.701652987,0.9859388435
rpoB__rpoBE546V_031__1,1.9280028991,-0.2518550035
rpoB__rpoBE546V_044__1,2.3748566686,-0.1028289335
rpoB__rpoBE546V_lb__1,1.4151680984000001,0.6989152315
rpoB__rpoBE546V_lb__2,1.5693475394,0.5134001775
rpoB__rpoBE546V_glc__1,0.8243859321,-0.10821354650000001
rpoB__rpoBE672K_glc__1,-0.1301276741,-0.2746976275
rpoB__rpoBE672K_glc__2,0.9250218561,-0.1442705215
rpoB__rpoBE672K_lb__1,2.2230816525,0.7063598975000001
rpoB__rpoBE672K_lb__2,2.1348678834,0.8392628875
crp__wt_fru__1,0.4873272771,1.2133425615
crp__wt_glyc__1,0.7587660649,1.1866154445000001
crp__wt_glyc__2,0.7469841355,1.2558234095
crp__delar1_glyc__1,1.7199934157999999,-0.5929306125
crp__delar1_glyc__2,1.5606761632000001,-0.4582642315
crp__delar1ar2_glyc__1,1.1497621252,-0.9652364135
crp__delar1ar2_glyc__2,1.3326920158,-1.1123398735
crp__delar1ar2_glyc__3,0.9134527429,-0.9171026865
crp__delar2_glyc__1,1.7511227628000001,-0.0649130825
crp__delar2_glyc__2,1.674848383,-0.1151864185
crp__delar2_glyc__3,1.9416960375999999,0.1565030635
crp__delcrp_fru__1,0.5704097882,-0.8444706505
crp__delcrp_fru__2,0.6327040324000001,-1.5259258865
crp__delcrp_fru__3,0.5760770431000001,-0.7401474195000001
crp__delcrp_glc__1,0.1584743377,-1.2638495925
crp__delcrp_glc__2,0.2866740924,-0.9971175795
crp__delcrp_glc__3,-0.484174333,-1.3583613045
crp__delcrp_glyc__1,0.0352662336,-1.2575624225
crp__delcrp_glyc__2,0.2747290101,-1.1100478935
crp__delcrp_glyc__3,0.051386422300000005,-1.2891182895
glu__glu_ale3__1,3.5952903982,-1.5996277294999999
glu__glu_ale4__1,3.8143468783000003,-0.4926388605
glu__glu_ale5__1,1.0810139253,0.2342417215
glu__glu_ale6__1,8.8191316323,-0.8971973705
glu__glu_ale8__1,1.6803740072000002,-0.7515890785
glu__glu_ale9__1,10.0854610391,-0.5005635395
glu__glu_ale10__1,7.469630624,-1.3820435655
42c__wt_42c__1,0.7548349565,0.25585010950000003
42c__42c_ale1__1,2.5198888088,1.5124655654999999
42c__42c_ale2__1,1.9065606194,-0.1191177655
42c__42c_ale3__1,0.8787928540000001,-0.1687762325
42c__42c_ale4__1,1.9233468504000002,0.0526770275
42c__42c_ale5__1,5.2692574325,-0.0992252695
42c__42c_ale6__1,4.708551477,0.0172851825
42c__42c_ale8__1,2.3405697249,0.3179956795
42c__42c_ale9__1,0.9101780056000001,0.48495342550000003
42c__42c_ale10__1,1.7744629624,0.2982023985
ssw__wt_ac__1,0.2016114418,0.8788910865
ssw__wt_glc__1,2.5029882025,-0.6717551725
ssw__wt_glyc__1,0.9418458346,1.2541738325
ssw__wt_xyl__1,4.9277913716,1.0909405965
ssw__glc_ale1__1,1.0705127489,0.2268996815
ssw__glc_ale2__1,7.495290761,-0.5880107595
ssw__glc_ale3__1,5.013886343,0.9706694365
ssw__glyc_ale1__1,1.602565297,0.5297178195
ssw__glyc_ale2__1,7.2107826564,0.7650633885
ssw__xyl_ale1__1,1.3238063914,-0.2677057895
ssw__xyl_ale2__1,0.6004790166,0.1030372585
ssw__xyl_ale3__1,5.0754985973,0.042894626500000005
ssw__glc_ac_ac2__1,2.2719209806,0.9126131965000001
ssw__glc_ac_glc1__1,2.9559470098,-0.37949885850000004
ssw__glc_glyc_glc__1,1.4482342148,-0.6795947265000001
ssw__glc_glyc_glyc__1,1.2159646855,0.0343702615
ssw__glc_xyl_glc__1,2.7290977373,-0.2045153795
ssw__glc_xyl_xyl__1,0.8072287757000001,0.4431746375
ica__wt_glc__1,0.8069678135,0.44882679350000004
ica__wt_glc__2,1.0984932552,0.3405093685
ica__wt_glc__3,0.529851013,-0.2107992725
ica__wt_glc__4,0.3598192577,-0.3014883165
ica__arg_sbt__1,1.5727342775,1.0260161025
ica__arg_sbt__2,1.262879001,0.9953518115000001
ica__cytd_rib__1,3.0687334677,0.5528845005
ica__cytd_rib__2,2.9052070577,0.5937951825000001
ica__gth__1,0.3368692706,-0.9550871905
ica__gth__2,0.7520621032,-1.3816337355
ica__leu_glcr__1,1.8065892636,0.8409880445
ica__leu_glcr__2,1.9551135557000001,0.9995847175
ica__met_glc__1,0.5686739246,0.0843331305
ica__met_glc__2,1.1439913325,0.0081649045
ica__no3_anaero__1,3.0830843168,-0.8607018515
ica__no3_anaero__2,1.6998220883,-0.6444788895
ica__phe_acgam__1,1.0417924993,0.1880132015
ica__phe_acgam__2,0.9779172352000001,0.23544608150000002
ica__thm_gal__1,1.4072376954,0.9190443545
ica__thm_gal__2,1.3900264742,1.0038869755
ica__tyr_glcn__1,1.9431531075000001,0.4709818335
ica__tyr_glcn__2,2.1711104797,0.5880085105
ica__ura_pyr__1,9.2173299384,0.9896623745
ica__ura_pyr__2,10.5691787083,1.5342898915
ica__wt_glc__5,0.9596536031,0.052214763500000004
ica__wt_glc__6,1.2032883676,-0.1883448465
ica__bw_delpurR_cytd__1,1.0609892316,0.0160492035
ica__bw_delpurR_cytd__2,-0.6940594872,0.2724366985
ica__ade_glc__1,-0.39519436820000003,-0.1800826515
ica__ade_glc__2,1.3403276195,0.1989535895
ytf__wt_glc__1,-0.0064681522000000005,-0.1782411385
ytf__wt_glc__2,0.1627559849,-0.0690962395
ytf__delyafC__1,0.3941513983,0.8709713515
ytf__delyafC__2,0.8376855187000001,0.7630248895
ytf__delyeiE__1,0.42477094390000003,0.5444553465
ytf__delyeiE__2,0.1444828893,-0.0055801505000000005
ytf__delyiaJ__1,0.8617175932000001,0.5785845405
ytf__delyiaJ__2,0.4300753163,0.5453803455
ytf__delyieP__1,3.5651790619,0.2368365835
ytf__delyieP__2,1.8219201394,0.0064921055
ytf__wt_ph5__1,4.0905049031,-0.1532433665
ytf__wt_ph5__2,4.0160651752,-0.1350352495
ytf__wt_ph8__1,-0.27003372740000003,0.0931556765
ytf__wt_ph8__2,-0.0075741489,-0.0169177155
ytf__delybaO__1,0.8654041638000001,0.8465871505
ytf__delybaO__2,0.9116666191,0.9479252405
ytf__delybaQ__1,0.08781297190000001,-0.2310782775
ytf__delybaQ__2,-0.2980610873,-0.1822491065
ytf__delybiH__1,0.2715898849,-0.1356102805
ytf__delybiH__2,0.16836083470000002,0.18194978950000001
ytf__delydcI_ph5__1,4.0152011562,-0.1236476185
ytf__delydcI_ph5__2,3.8236374931,-0.0215017515
ytf__delydcI_ph8__1,-0.0814265366,-0.3141348125
ytf__delydcI_ph8__2,-0.13510830640000002,0.0166718455
ytf__delyddM__1,0.33808433260000004,-0.5646310345000001
ytf__delyddM__2,0.091412352,-0.4932275915
ytf__delyheO__1,0.9038497692,0.6101252075
ytf__delyheO__2,0.8226772109,0.8126532625
fps__bw_glc__1,-0.166806123,0.4799976945
fps__bw_glc__2,-0.26185479170000003,0.19635040550000002
fps__fps_thrA_ale1__1,-0.6802754008,-0.14912426750000002
fps__fps_thrA_ale1__2,-0.3754115758,-0.3583103935
fps__fps_thrA_ale2__1,-0.1718508467,-0.1248964325
fps__fps_thrA_ale2__2,-0.1846727011,-0.2127146885
fps__fps_serB_ale1__1,-0.42175632420000003,-0.40946077150000004
fps__fps_serB_ale1__2,-0.1694979438,-0.4260311055
fps__fps_serB_ale4__1,-1.0162982015,-0.45887697850000003
fps__fps_serB_ale4__2,-1.0524437253,-0.27759582450000003
fps__fps_ptsI_ale1__1,0.1351859075,0.8269054885
fps__fps_ptsI_ale1__2,0.452308292,0.9400353415
fps__fps_ptsI_ale3__1,0.2043056056,1.0557382135
fps__fps_ptsI_ale3__2,0.1071586808,0.9829920375000001
pal__lyx_ale2_f6__1,-0.017667569,1.0975988225
pal__lyx_ale2__1,0.5154935068000001,0.7855680255
pal__lyx_ale2__2,0.33819726040000003,1.0625522705
pal__lyx_ale4__1,0.8033051160000001,0.9643760595
pal__lyx_ale4__2,0.8840137097,0.8081555605
pal__5drib_ale10_f18__1,0.5825671336,1.4239991495
pal__5drib_ale10_f18__2,0.7558001561000001,1.5618253825
pal__5drib_ale10__1,1.0996060445,1.5800628295
pal__arab_ale14_f9__1,0.6068229015000001,0.5851251905
pal__arab_ale14_f9__2,0.24875527930000002,0.5259530875
pal__arab_ale14__1,0.5302818111000001,0.6632668385
pal__arab_ale14__2,1.031273025,0.8848659795
pal__arab_ale16__1,1.1985597048,1.2002760515
pal__arab_ale16__2,0.8185031123000001,1.1336301655
pal__tartr_ale26_f10__1,1.4826136045,2.0008179335
pal__tartr_ale26_f10__2,1.0182788952,2.0253531205
pal__tartr_ale26__1,0.5340014515,1.9284213655
pal__tartr_ale26__2,1.2704391801,2.0057900785
pal__tartr_ale28_f10__1,0.21527111840000002,0.5808478375
pal__tartr_ale28_f10__2,0.2837838612,0.8853438895
pal__tartr_ale28__1,0.6557512237,1.0703965045
pal__tartr_ale28__2,0.6223257849,1.2518358895000001
efeU__delmenFentC_citr__1,0.187903747,-0.29938067150000003
efeU__delmenFentC_citr__2,0.29923829900000004,-0.32191192550000003
efeU__delmenFentC__1,6.6666063541,-0.3090562805
efeU__delmenFentC__2,6.4330475501,-0.3823078985
efeU__menFentC_ale39__1,2.6060373367,0.10735262150000001
efeU__menFentC_ale39__2,2.8171229958,0.43513684150000004
efeU__menFentC_ale29__1,1.4917232043,-0.5747177815
efeU__menFentC_ale29__2,2.1217799095,-0.5823451495
efeU__menFentC_ale30__1,1.2966084095000001,0.1269442505
efeU__menFentC_ale30__2,0.8950109315,0.1368358035
efeU__menFentCubiC_ale36__1,2.6423898985000003,-0.06960912250000001
efeU__menFentCubiC_ale36__2,3.2278181392,0.1353379365
efeU__menFentCubiC_ale37__1,3.6994060074,-0.0200638955
efeU__menFentCubiC_ale37__2,3.5479249512,-0.1077626665
efeU__menFentCubiC_ale38__1,4.5703147863,-0.26191861450000004
efeU__menFentCubiC_ale38__2,3.8778532722,-0.4389564835
misc2__salc_glc__1,4.3855792648,-0.5709454055000001
misc2__salc_glc__2,4.6391326268,-0.7753160765
misc2__dbcn_glc__1,0.5634281331000001,-0.2405688145
misc2__dbcn_glc__2,0.7353171228000001,-0.7052271385000001
misc2__tyr_glc__1,0.5968599565,-0.4185111925
misc2__tyr_glc__2,0.409584482,-0.1284812015
misc2__arg_cytd__1,1.9376850897,-0.0499508965
misc2__arg_cytd__2,1.5682347615,0.29635091150000004
misc2__delyheO_pyr__1,10.7974932005,1.2906502364999999
misc2__delyheO_pyr__2,10.5399847153,1.4567694025
nquinone__delubiC__1,0.5657815897,-0.2228007715
nquinone__delubiC__2,0.5350308496,-0.2294207215
nquinone__ubiC_ale1__1,0.5428009678,-0.1632126405
nquinone__ubiC_ale1__2,0.3228397879,-0.18648543650000002
nquinone__ubiC_ale2__1,2.6710171212000002,-0.0961213425
nquinone__ubiC_ale2__2,2.7865626733,-0.7286901785000001
nquinone__ubiC_ale3__1,0.3995708429,-0.9447020845
nquinone__ubiC_ale3__2,0.4673062274,-1.0187343165
nquinone__ubiC_ale4__1,0.7749066409,-0.6031657315
nquinone__ubiC_ale4__2,0.6293681691,-0.1384331945
nquinone__delpdhR__1,6.5529543853,0.0672013665
nquinone__delpdhR__2,6.5628082066,-0.1188753745
quinone__glu_ale4__1,4.4907769321,-0.5468096565
quinone__glu_ale4__2,2.0225372734000002,-0.32504854450000004
quinone__delmenF__1,0.015122161600000001,-0.0760022895
quinone__delmenF__2,-0.2719148985,-0.2545476225
quinone__menF_ale5__1,1.4037827849,0.1164834155
quinone__menF_ale5__2,1.4980804275000001,-0.6358485275
quinone__menF_ale6__1,1.455215338,-0.11047792050000001
quinone__menF_ale6__2,1.5235347017,0.0794625835
quinone__menF_ale7__1,1.9411280762,0.7348093655
quinone__menF_ale7__2,1.992802572,0.6290829515
quinone__menF_ale8__1,2.287268205,0.8016677675
quinone__menF_ale8__2,2.1159973459,0.049283902500000004
quinone__delmenFubiC__1,0.6878756507,-0.3580687605
quinone__delmenFubiC__2,0.7599915549,-0.2740424025
quinone__menFubiC_ale1__1,1.8294068421,1.1077424815
quinone__menFubiC_ale1__2,1.940182525,1.1612720925
quinone__menFubiC_ale2__1,3.4409193017,0.4599591075
quinone__menFubiC_ale2__2,3.3356186911,0.5365228735
quinone__menFubiC_ale3__1,1.9925626983,-0.047172581500000005
quinone__menFubiC_ale3__2,1.5058615523999999,0.0843824085
quinone__menFubiC_ale4__1,1.8916139546,-0.6196607055000001
quinone__menFubiC_ale4__2,1.5607751603,-0.29853094550000003
oxyR__wt_glc__1,0.6459389311,0.2618885865
oxyR__wt_glc__2,0.7072026862,0.2515502215
oxyR__wt_h2o2__1,0.7970564243,0.2800265545
oxyR__wt_h2o2__2,0.3721692085,-0.0916723295
oxyR__glu_ale4__1,1.047775571,-0.4069427715
oxyR__glu_ale4__2,2.2482416304,-0.3106369885
oxyR__glu_ale4_h2o2__1,1.4974579819,-0.0804934685
oxyR__glu_ale4_h2o2__2,6.8455061037,-0.3671622805
oxyR__oxyR_ale17__1,2.4645030703,-0.16498841350000001
oxyR__oxyR_ale17__2,7.1791904216,-0.0799542905
oxyR__oxyR_ale17_h2o2__1,0.9439079352,0.1040698555
oxyR__oxyR_ale17_h2o2__2,0.6373143653000001,-0.3156170645
oxyR__oxyR_ale18__1,1.1540955078,0.3214701775
oxyR__oxyR_ale18__2,0.9578187952,0.16161886250000002
oxyR__oxyR_ale18_h2o2__1,9.8570034022,-0.1535237835
oxyR__oxyR_ale18_h2o2__2,6.023920895,-0.059802124500000005
oxyR__oxyR_ale19__1,0.9861965294,0.3642164175
oxyR__oxyR_ale19__2,0.9105014658,0.4343117395
oxyR__oxyR_ale19_h2o2__1,0.8082527009,0.3000650865
oxyR__oxyR_ale19_h2o2__2,0.9058932076,0.44036844750000004
oxyR__oxyR_ale20__1,8.4017541785,0.0670102325
oxyR__oxyR_ale20__2,8.208946586,0.08803828250000001
oxyR__oxyR_ale20_h2o2__1,8.2867920696,-0.07454540650000001
oxyR__oxyR_ale20_h2o2__2,3.6550220060000003,0.0296654015
svns_pgi__BmePgi24_15__1,0.277067401,0.1285296175
svns_pgi__BmePgi24_15__2,0.3257984802,-0.0561825475
svns_pgi__BmePgi24_26__1,0.7059701658,0.24421137550000002
svns_pgi__BmePgi24_26__2,0.5466223164,0.10246809750000001
svns_pgi__BmePgi24_41__1,1.1378902634,-0.3636996005
svns_pgi__BmePgi24_41__2,0.8994504735000001,-0.0585334655
svns_pgi__BmePgi24_52__1,0.8228384545,0.1345731095
svns_pgi__BmePgi24_52__2,0.3186622075,0.13505263950000002
svns_pgi__PaePgi2_34__1,0.4970063102,-0.5077371115
svns_pgi__PaePgi2_34__2,0.5150831988,-0.2576885195
svns_pgi__PaePgi2_63__1,0.9019940913000001,-0.47404933450000003
svns_pgi__PaePgi2_63__2,0.9674918483,-0.4982443045
svns_pgi__PaePgi24_54__1,1.3822995732,-0.2737040555
svns_pgi__PaePgi24_54__2,1.2098852774,-0.4100804255
svns_pgi__PaePgi24_90__1,1.0733415253,-0.6740989865
svns_pgi__PaePgi24_90__2,0.7169590871,-0.1425417135
