,ydfV
Cr_1,0.006721657655919928
Cr_2,0.011053452410826602
Cr_3,0.011456542990857237
Cr_4,0.023201538785059785
Cr_5,0.0255563110457027
Cr_6,0.041670000866839266
Fe_1,-0.007054618164466431
Fe_2,-0.020719738323334902
Fe_3,-0.03495866705881661
Fe_4,-0.052861352096668264
Fe_5,-0.06211170705562219
Fe_6,-0.060894699731690816
Cd_1,0.0023920543200723
Cd_2,0.00041593993451220665
Cd_3,-0.0006435819118868909
Cd_4,0.004184225913060067
Cd_5,-0.001421988011773982
Cd_6,0.004346982235566191
Zn_1,0.002764262986310077
Zn_2,-0.0028487698901429738
Zn_3,0.0009465926568974256
Zn_4,0.014058232103066176
Zn_5,0.029148302134311695
Zn_6,0.042164681839660836
Cu_1,0.006714218170934727
Cu_2,0.010798199663987065
Cu_3,0.01213590108941929
Cu_4,0.009813485518291457
Cu_5,0.008316446975837331
Cu_6,0.0074148478782007235
Pb_1,-0.00431885678527416
Pb_2,-0.0019254952165842648
Pb_3,0.004336441255140568
Pb_4,0.017569961830172634
Pb_5,0.02673655916032281
Pb_6,0.03136850067960043
