,fepD
Cr_1,-0.003924023116284226
Cr_2,-0.007119067803810948
Cr_3,-0.010262588556704396
Cr_4,-0.008648677038122669
Cr_5,-0.0055285272428791925
Cr_6,-0.008117549537237376
Fe_1,-0.02892229097235612
Fe_2,-0.06815728655384548
Fe_3,-0.11402219602046483
Fe_4,-0.16829226730113991
Fe_5,-0.21456128241407985
Fe_6,-0.25283442431455805
Cd_1,0.010993190868178949
Cd_2,0.01920338306909245
Cd_3,0.02535234760204147
Cd_4,0.031822231248181225
Cd_5,0.033999481630252334
Cd_6,0.0424065075195272
Zn_1,-0.02336751431708573
Zn_2,-0.014029819989022162
Zn_3,0.010941161868877877
Zn_4,0.01094530559917438
Zn_5,0.009189957627025356
Zn_6,0.01813174943816217
Cu_1,0.005532720571104007
Cu_2,0.014307239480967416
Cu_3,0.02846148698380933
Cu_4,0.027008226647615725
Cu_5,0.02634794532482158
Cu_6,0.03181918486692286
Pb_1,-0.00029357289519671333
Pb_2,-0.002563034396800673
Pb_3,0.009170486411863016
Pb_4,0.018143637220802297
Pb_5,0.026536285516236272
Pb_6,0.03219782981150158
