,smf
Cr_1,0.002398347579979667
Cr_2,0.005684252852246918
Cr_3,0.010461403242329676
Cr_4,0.013072064147624124
Cr_5,0.015906013427640642
Cr_6,0.014417414619066381
Fe_1,-0.01027006624951127
Fe_2,-0.026691289129161917
Fe_3,-0.04476931686885662
Fe_4,-0.0629625156829095
Fe_5,-0.07659394961167702
Fe_6,-0.07940563136925825
Cd_1,0.0016698457270563484
Cd_2,0.0031204216860864268
Cd_3,0.007328100769840471
Cd_4,0.01012855280707632
Cd_5,0.006524940966895176
Cd_6,0.009696210115958628
Zn_1,0.001906781775953473
Zn_2,0.0022546955221694905
Zn_3,0.006633058463622489
Zn_4,0.017077114939805238
Zn_5,0.02702314418729966
Zn_6,0.032673863805608126
Cu_1,0.004926166939496029
Cu_2,0.00887794005553837
Cu_3,0.015923173056292806
Cu_4,0.020852504797187102
Cu_5,0.023165526480394157
Cu_6,0.0304967966014925
Pb_1,0.002304548227212659
Pb_2,0.007498165133868749
Pb_3,0.01579882054087896
Pb_4,0.0297690057994574
Pb_5,0.041525324548033135
Pb_6,0.04996181001838863
