,tatE
Cr_1,0.013701544791819772
Cr_2,-0.0008033012863565689
Cr_3,-0.01453503627622382
Cr_4,-0.020142426430807717
Cr_5,-0.005513288976346664
Cr_6,-0.006830326862858947
Fe_1,-0.014174709084221757
Fe_2,-0.011528344685784429
Fe_3,-0.008333274428768194
Fe_4,0.011051233970808531
Fe_5,0.04177976281183192
Fe_6,0.050493101388817206
Cd_1,-0.0009192546802118314
Cd_2,0.005764513424441536
Cd_3,0.010769482372243755
Cd_4,0.02076814687279073
Cd_5,0.028859855719678706
Cd_6,0.039532465487146784
Zn_1,0.024490353171792958
Zn_2,0.05710492548446576
Zn_3,0.05569848631248965
Zn_4,0.07643183792586758
Zn_5,0.053807493380209015
Zn_6,0.04735628085105945
Cu_1,0.006207206978470629
Cu_2,0.013120897288821893
Cu_3,0.024742632661813296
Cu_4,0.032407053061318615
Cu_5,0.03441540476205149
Cu_6,0.034731465975012615
Pb_1,0.007331451136607761
Pb_2,0.013676978244968434
Pb_3,0.02569935398284752
Pb_4,0.030965434389573006
Pb_5,0.04308444094946047
Pb_6,0.057413635176147115
