,yadS
Cr_1,-0.0050553652578948435
Cr_2,-0.00778426002945103
Cr_3,-0.006338775684878441
Cr_4,-0.007067768280930452
Cr_5,-0.006957706114302863
Cr_6,-0.00735923244463091
Fe_1,-0.007774084427109163
Fe_2,-0.018433155145121692
Fe_3,-0.02378477960380349
Fe_4,-0.039664657094731263
Fe_5,-0.04666096324451368
Fe_6,-0.047277037244391744
Cd_1,-0.0007415606684892874
Cd_2,-0.0001517520152269757
Cd_3,0.003295389494035589
Cd_4,0.004908402141058876
Cd_5,0.0010346015806820194
Cd_6,0.0050924536902447895
Zn_1,-0.005062348895904081
Zn_2,-0.003914920553993649
Zn_3,0.00782168582036546
Zn_4,0.026342272066589068
Zn_5,0.045053905141981834
Zn_6,0.06647980576003233
Cu_1,0.0016233560245190325
Cu_2,0.007332264144415592
Cu_3,0.01626456205570735
Cu_4,0.021833657000721683
Cu_5,0.030636116612602144
Cu_6,0.03225124310330887
Pb_1,0.004749096575654594
Pb_2,0.020832121664316267
Pb_3,0.0362485021199862
Pb_4,0.053802957508947015
Pb_5,0.06533753642952432
Pb_6,0.0748458463502982
