,rnhA
Cr_1,0.0013828150229655198
Cr_2,0.0036256688357506244
Cr_3,0.006019262060196662
Cr_4,0.008100131846841628
Cr_5,0.004734699797268339
Cr_6,0.000472791468394294
Fe_1,-0.005172758465923986
Fe_2,-0.014278999602604554
Fe_3,-0.022242115413773786
Fe_4,-0.034801441648094934
Fe_5,-0.03949389884973967
Fe_6,-0.0427005399583943
Cd_1,-0.00038134887876174414
Cd_2,0.0004896456370006118
Cd_3,0.0004944719554066507
Cd_4,-0.0031227455485055558
Cd_5,-0.008710783921124217
Cd_6,-0.008674864737449162
Zn_1,-0.008389847493779464
Zn_2,-0.009844527178546869
Zn_3,-0.005983594892988671
Zn_4,0.0013092082627950625
Zn_5,0.004199241156368187
Zn_6,0.009421750480667958
Cu_1,-0.006127533471223176
Cu_2,-0.0025277168208848798
Cu_3,-0.0006121713239754111
Cu_4,-0.004337649155948354
Cu_5,-0.01180482823427226
Cu_6,-0.01900793746216681
Pb_1,0.0022440956735972004
Pb_2,0.0011291232989635376
Pb_3,0.0032317166199792463
Pb_4,0.008741547477605725
Pb_5,0.01099645005867546
Pb_6,0.014815777663455144
