,yiaT
Cr_1,-0.0012089742527889302
Cr_2,0.004969898291839116
Cr_3,0.00452589467738767
Cr_4,0.012430143620230764
Cr_5,0.011358326431783215
Cr_6,0.010590893931307532
Fe_1,-0.014740172234258938
Fe_2,-0.03455164222276204
Fe_3,-0.053616541548269184
Fe_4,-0.07852837449674749
Fe_5,-0.0916921690864335
Fe_6,-0.1044595722508459
Cd_1,0.01065472002783992
Cd_2,0.019058723009558232
Cd_3,0.02951464728845742
Cd_4,0.033379658460827945
Cd_5,0.03818190939765805
Cd_6,0.04520506792965938
Zn_1,0.016554924565198272
Zn_2,0.20613683220342988
Zn_3,0.4628564382364861
Zn_4,0.6513846557213167
Zn_5,0.7627484220979982
Zn_6,0.8174322016982297
Cu_1,-0.0029558272020104325
Cu_2,-0.0033021328150849823
Cu_3,-0.003934557437778155
Cu_4,-0.013686377805771135
Cu_5,-0.021832186420280245
Cu_6,-0.03246668354851517
Pb_1,0.009225731200611906
Pb_2,0.028076625362425337
Pb_3,0.05850633915470727
Pb_4,0.08567028677341212
Pb_5,0.11479560927247212
Pb_6,0.14375109597159114
