,ybdG
Cr_1,0.00337787335125063
Cr_2,0.00980683451658808
Cr_3,0.010789705539044452
Cr_4,0.013741502999111165
Cr_5,0.020554375163652397
Cr_6,0.016096133486318786
Fe_1,-0.007413058937685318
Fe_2,-0.016274353972112087
Fe_3,-0.013316350074193902
Fe_4,-0.012351416611226495
Fe_5,-0.0077737732693705435
Fe_6,-0.006681501137806108
Cd_1,-0.008059279234652137
Cd_2,-0.004533445923634537
Cd_3,0.005223349274361714
Cd_4,0.010710724724217793
Cd_5,0.015095304019249524
Cd_6,0.021334406858741363
Zn_1,-0.01849757958685473
Zn_2,-0.03194377113845332
Zn_3,-0.04619391241914448
Zn_4,-0.0679771585285392
Zn_5,-0.11100468604249564
Zn_6,-0.15888355533156653
Cu_1,0.012585140279790451
Cu_2,0.024217386960148163
Cu_3,0.03611904029431762
Cu_4,0.04311028367549768
Cu_5,0.06003180036227241
Cu_6,0.07490323878227849
Pb_1,-0.0027379404904257264
Pb_2,0.0008163229178590937
Pb_3,0.009399717292059715
Pb_4,0.022778789476513846
Pb_5,0.029279144798692126
Pb_6,0.0244584894976795
