,yhiP
Cr_1,0.0023131232985930924
Cr_2,0.009096460500800868
Cr_3,0.02044385445765781
Cr_4,0.03611052913249376
Cr_5,0.047901698675847884
Cr_6,0.051054092835786206
Fe_1,-0.030046969611811376
Fe_2,-0.07742274806779967
Fe_3,-0.12482141248807155
Fe_4,-0.1694380942415945
Fe_5,-0.20069422123819589
Fe_6,-0.21551689724801287
Cd_1,0.0003560384237875436
Cd_2,-0.002406995008188403
Cd_3,-0.008118277577469349
Cd_4,-0.013463632041326579
Cd_5,-0.02146081937047886
Cd_6,-0.02200712381390539
Zn_1,0.14097583616746087
Zn_2,0.10451421222010507
Zn_3,0.049283786729426654
Zn_4,0.10212677455169253
Zn_5,0.0028167978934915644
Zn_6,-0.0133880778616087
Cu_1,0.004568566313684267
Cu_2,0.012079454914378016
Cu_3,0.023896325736917853
Cu_4,0.030471507393318636
Cu_5,0.03836949053363694
Cu_6,0.045172304026295074
Pb_1,-0.000612892298834779
Pb_2,0.005001022746125462
Pb_3,0.01885822364091191
Pb_4,0.028174394057353037
Pb_5,0.03460022056999454
Pb_6,0.05119492510131903
