sample,new_3733968_3734142_c
LBexp_1,7.3193
LBexp_2,7.2293
LBexp_3,7.2724
LBtran_1,7.136
LBtran_2,7.0123
LBtran_3,7.3041
LBstat_1,7.0628
LBstat_2,7.2921
LBstat_3,7.2898
LBGexp_1,7.2223
LBGexp_2,7.127000000000002
LBGexp_3,7.2177
LBGtran_2,7.4599
LBGtran_3,7.3728
LBGstat_1,7.1745
LBGstat_2,7.1451
LBGstat_3,7.6543
S0_1,6.9069
S0_2,7.1658
S0_3,7.356
S1_1,7.3235
S1_2,7.6381
S1_3,7.2312
S2_1,7.5849
S2_2,7.1469
S2_3,7.2468
S3_1,8.8545
S3_2,9.0629
S4_1,10.6793
S4_2,10.5925
S4_3,10.5101
S5_1,13.5247
S5_2,14.241
S5_3,14.1051
S6_1,15.1544
S6_2,16.3864
S6_3,15.3026
S6/t_1,15.1424
S6/t_2,15.499
S6_4,14.2353
S6_5,14.7241
S6_6,14.4756
S7_4,14.7277
S7_5,14.2393
S7_6,13.9498
S8_4,14.2455
S8_5,14.6951
G135_1,7.585
G135_3,7.7222
G150_1,7.4943
G150_2,7.2743
G150_3,7.9997
G180_1,7.4869
G180_2,7.5371
G180_3,7.5549
C30_1,9.7866
C30_2,10.0825
C90_1,8.0451
C90_2,6.9347
BI_1,6.9307
BI_2,6.8099
BC_2,9.4079
BC/t_1,7.8784
BC/t_2,9.8996
BC_1,7.4419
Sw_1,6.8021
Sw_2,6.5301
BT_1,13.036
BT_2,12.568
B36_1,11.5503
B36_2,11.5949
B60_1,10.7014
B60_2,11.1229
M9exp_1,9.4731
M9exp_2,9.2453
M9exp_3,6.9266
M9tran_1,7.3483
M9tran_2,7.4054
M9tran_3,7.1758
M9stat_1,8.4539
M9stat_2,7.9031
M9stat_3,7.665
M+G_1,9.2694
M+G_2,7.5258
M+G_3,7.4088
Glu_1,7.8276
Glu_2,7.3525
Glu_3,7.8707
Fru_1,8.2992
Fru_2,8.4557
Fru_3,7.449
Mal_1,7.0539
Mal_2,8.1685
Mal_3,7.2941
G+S_2,11.3597
G+S_3,12.1366
Pyr_1,10.3725
Pyr_2,12.0124
Pyr_3,12.0028
Gly_1,7.7985
Gly_2,8.1998
Gly_3,8.0845
Glucon_1,9.609
Glucon_2,9.5153
Glucon_3,8.4179
aero_1,9.5603
aero_2,7.7393
aero_3,9.3076
nit_1,11.64
nit_2,9.0333
nit_3,9.5922
ferm_1,11.3568
ferm_2,8.6095
ferm_3,9.0306
T-5.40H_1,7.4356
T-4.40H_1,7.5925
T-3.40H_1,7.3542
