locus,gene_weight,gene_name,gene_product,cog,regulator,link
PSPTO_RS02635,0.5077459843000001,PSPTO_RS02635,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_RS25895,0.0701394535,PSPTO_RS25895,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_RS19070,-0.0637745328,PSPTO_RS19070,DUF2256 domain-containing protein,Function unknown,,
PSPTO_RS11875,-0.07341284940000001,PSPTO_RS11875,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_4055,-0.1025160541,PSPTO_4055,hypothetical protein,No COG annotation,,
