,yabP
Cr_1,0.0061061459481062145
Cr_2,0.010196120988230951
Cr_3,0.015407082952484184
Cr_4,0.015553395482207376
Cr_5,0.01831351460725854
Cr_6,0.01859453716009756
Fe_1,-0.011791733087891566
Fe_2,-0.04024448354218612
Fe_3,-0.07216276162653767
Fe_4,-0.1080607389454741
Fe_5,-0.13923583580362614
Fe_6,-0.17136880707789925
Cd_1,0.01103129563813977
Cd_2,0.02875707738253245
Cd_3,0.040761247664496736
Cd_4,0.0475302897556783
Cd_5,0.05269125796179862
Cd_6,0.05564873299699071
Zn_1,-0.002520900338652327
Zn_2,-0.009686397420356069
Zn_3,-0.008216689620552569
Zn_4,-0.006408647696031057
Zn_5,-0.006491604446766322
Zn_6,0.0009426587366853582
Cu_1,-0.00014622139204321656
Cu_2,0.009167799168621827
Cu_3,0.016501808819817828
Cu_4,0.0158607207996653
Cu_5,0.015350187396535644
Cu_6,0.024871694844030418
Pb_1,-0.00237563391845313
Pb_2,0.002303450531593233
Pb_3,0.008457738081433437
Pb_4,0.01881466341158466
Pb_5,0.0372968311682997
Pb_6,0.04886757100501448
