,A,SigD
R2,,0.7895138383902605
xmin,,-5.656966666666667
xmid,,
xmax,,0.9855333333333327
ystart,,-49.92746380954785
yend,,10.923711457895001
LBexp_1,-9.707977335,-0.6003666666666678
LBexp_2,-4.2066830997,-0.34446666666666736
LBexp_3,-3.5644172979,-0.4258666666666677
LBtran_1,3.0631259224,0.29403333333333137
LBtran_2,10.2486025446,0.03163333333333185
LBtran_3,5.368332677,0.2588333333333317
LBstat_1,15.0587559522,0.22713333333333274
LBstat_2,13.1884519047,0.297133333333333
LBstat_3,10.9864650998,0.31843333333333135
LBGexp_1,-13.1711350648,-1.1524666666666672
LBGexp_2,-13.1654010977,-1.0998666666666672
LBGexp_3,-13.4956055822,-1.285966666666667
LBGtran_2,3.9171735628,-0.3318666666666683
LBGtran_3,0.8427315995,0.10103333333333175
LBGstat_1,8.1309682838,-1.4176666666666673
LBGstat_2,4.931710702,-2.0817666666666685
LBGstat_3,5.2968902668,-0.40486666666666693
S0_1,4.6961813237,-0.04116666666666724
S0_2,2.2167016394,-0.10606666666666698
S0_3,5.1306763642,0.3053333333333317
S1_1,-2.4283399429,-0.2071666666666676
S1_2,-4.7944555573,-0.4364666666666679
S1_3,-0.7029845778,0.05683333333333174
S2_1,-12.3718539554,-2.019166666666667
S2_2,-14.1801417236,-2.0386666666666677
S2_3,-9.6319487808,-1.8917666666666673
S3_1,-22.6652030587,-2.995466666666667
S3_2,-21.2112724673,-2.4403666666666677
S4_1,-28.8519951585,-2.8612666666666673
S4_2,-30.2828164238,-3.3170666666666673
S4_3,-28.0902414461,-3.5619666666666685
S5_1,-34.1652605456,-3.8450666666666677
S5_2,-34.5270684069,-3.3554666666666684
S5_3,-33.353908944,-3.370466666666667
S6_1,-34.7751627868,-4.255766666666668
S6_2,-34.4368351676,-5.656966666666667
S6_3,-32.5774526913,-4.072866666666668
S6/t_1,-34.5094447375,-4.0535666666666685
S6/t_2,-34.1979913067,-5.556566666666668
S6_4,-34.049718526,-4.2738666666666685
S6_5,-35.1436750123,-3.9651666666666685
