,A,Fnr
R2,,0.296478767174721
xmin,,-2.574525767
xmid,,
xmax,,2.044364118
ystart,,20.545689269252577
yend,,-14.644435492265108
control__wt_glc__1,0.3725333033,-0.052632
control__wt_glc__2,-0.3725333033,0.052632
fur__wt_dpd__1,-0.2712490189,-0.22332754900000001
fur__wt_dpd__2,0.1676503045,-0.207263208
fur__wt_fe__1,0.22415767590000002,-0.5591243690000001
fur__wt_fe__2,0.9771700815000001,-0.518033721
fur__delfur_dpd__1,-0.2340827842,-0.358693874
fur__delfur_dpd__2,-0.41411431120000003,-0.349967695
fur__delfur_fe2__1,0.7558151933,-0.27282969900000004
fur__delfur_fe2__2,0.4229238917,-0.26540585
acid__wt_ph5__1,0.45528920770000003,-0.524846931
acid__wt_ph5__2,0.6254834599,-0.539491976
acid__delgadx_ph5__2,0.6423315551000001,-0.480809823
acid__delgadw_ph5__1,0.9676189816,-0.5694477410000001
acid__delgadw_ph5__2,0.3175376495,-0.545782447
acid__delgade_ph5__1,0.2057180292,-0.49659595500000003
acid__delgade_ph5__2,0.2415503398,-0.5235996460000001
oxidative__wt_pq__1,1.5428168041,-0.277983604
oxidative__wt_pq__2,1.7138643586,-0.403604734
oxidative__deloxyr_pq__1,2.7100532144000002,-0.117314808
oxidative__deloxyr_pq__2,2.9264907633,-0.052995724
oxidative__delsoxr_pq__1,1.5846602595000001,-0.46957113400000006
oxidative__delsoxr_pq__2,2.1815980737,-0.475574296
oxidative__delsoxs_pq__1,1.4845912884999999,-0.138763319
oxidative__delsoxs_pq__2,1.9694731773,-0.142115652
nac_ntrc__wt_csn__1,1.7658300812,-0.158711963
nac_ntrc__wt_csn__2,1.3828154134,-0.20401648900000002
nac_ntrc__wt_cytd__1,0.11943251910000001,-0.22330206500000002
nac_ntrc__wt_cytd__2,0.48796786680000004,-0.148782092
nac_ntrc__wt_gln__1,1.8485425316000001,-0.133928986
nac_ntrc__wt_gln__2,2.1007087624,-0.07252378100000001
nac_ntrc__bw_delnac_csn__1,2.0524229968,-0.17298681200000002
nac_ntrc__bw_delnac_csn__2,1.2937290175,-0.207335707
nac_ntrc__bw_delnac_cytd__1,0.9772268038,-0.39908493100000003
nac_ntrc__bw_delnac_cytd__2,0.8801438136,-0.458070531
nac_ntrc__bw_delnac_gln__1,1.4850242423,-0.387752121
nac_ntrc__bw_delnac_gln__2,2.1318322473,-0.318289392
nac_ntrc__bw_delnac_nh4__1,0.0996726576,-0.40746298400000003
nac_ntrc__bw_delnac_nh4__2,0.9560191866000001,-0.431925496
