,lpd
Cr_1,0.0008165943163916932
Cr_2,0.0029996715442094195
Cr_3,0.006198820920290575
Cr_4,0.007172793601493216
Cr_5,0.009794198132403677
Cr_6,0.0116159067079779
Fe_1,-0.002981668584524666
Fe_2,-0.009906269987153457
Fe_3,-0.01672075537050246
Fe_4,-0.02389321535972696
Fe_5,-0.032531844155041664
Fe_6,-0.04542426866437593
Cd_1,0.009010056789504272
Cd_2,0.01749895523068064
Cd_3,0.02577301327794721
Cd_4,0.03535429914132067
Cd_5,0.0414311025309541
Cd_6,0.05277420010324585
Zn_1,0.0004958952654654712
Zn_2,0.006805076083823098
Zn_3,0.01982096722679172
Zn_4,0.027797663336821047
Zn_5,0.040164075095872484
Zn_6,0.05454006488784798
Cu_1,0.00866732711791376
Cu_2,0.019330560028823374
Cu_3,0.03364213249808549
Cu_4,0.05031936000358329
Cu_5,0.06186383900363762
Cu_6,0.07335684027621002
Pb_1,0.006668797510621058
Pb_2,0.015925524712061757
Pb_3,0.017097127669714392
Pb_4,0.022592580871195145
Pb_5,0.035466568991263575
Pb_6,0.04447240496226985
