,0
Title,<i>S. pyogenes</i> Modulome
Organism,<i>Streptococcus pyogenes</i>
Strain,Serotype M1
Publication,"<a href=""https://doi.org/10.1101/2022.08.04.502797"">Hirose, et al., Forthcoming</a>"
Number of Samples,116
Number of Unique Conditions,23
Number of Genes,1723
Number of iModulons,42
