,A,Fnr,NarL
R2,,0.20610552915365554,0.0775851345568972
xmin,,-2.574525767,-3.0560450505
xmid,,,0.10774795011939522
xmax,,2.044364118,1.2829432885
ystart,,6.871680586183167,1.7555319731772456
yend,,-4.71910338921957,7.353663232666613
control__wt_glc__1,-0.6295436493000001,-0.052632,0.0046058085
control__wt_glc__2,0.6295436493000001,0.052632,-0.0046058085
fur__wt_dpd__1,1.8603649013,-0.22332754900000001,0.7958407655
fur__wt_dpd__2,2.0778166424,-0.207263208,0.7809120795000001
fur__wt_fe__1,1.1618759809,-0.5591243690000001,0.0860204375
fur__wt_fe__2,1.4944573246,-0.518033721,0.1956717155
fur__delfur_dpd__1,1.5940353326999999,-0.358693874,0.6368233545
fur__delfur_dpd__2,1.0002713373,-0.349967695,0.6053562415
fur__delfur_fe2__1,0.43178626480000004,-0.27282969900000004,0.22929593850000002
fur__delfur_fe2__2,0.3027738896,-0.26540585,0.3102063565
acid__wt_ph5__1,4.1233636548,-0.524846931,0.7226422635
acid__wt_ph5__2,3.8044015849,-0.539491976,0.6039874685000001
acid__delgadx_ph5__2,4.8843341508,-0.480809823,0.7064404205
acid__delgadw_ph5__1,3.9222492518000003,-0.5694477410000001,0.6671839155
acid__delgadw_ph5__2,4.1881646617,-0.545782447,0.6889960855
acid__delgade_ph5__1,4.1317837456,-0.49659595500000003,0.4548568885
acid__delgade_ph5__2,4.3428975104,-0.5235996460000001,0.44526442450000003
oxidative__wt_pq__1,2.4410725223,-0.277983604,1.1253454755
oxidative__wt_pq__2,2.2699590139,-0.403604734,1.2190429045
oxidative__deloxyr_pq__1,1.3851302427,-0.117314808,1.0256380375
oxidative__deloxyr_pq__2,1.7742619906,-0.052995724,1.1128686855
oxidative__delsoxr_pq__1,2.0216940796,-0.46957113400000006,0.8344043915
oxidative__delsoxr_pq__2,2.2405429442,-0.475574296,0.8354505565
oxidative__delsoxs_pq__1,2.8577996998,-0.138763319,1.2055026185
oxidative__delsoxs_pq__2,2.1162524765,-0.142115652,1.1488311055
nac_ntrc__wt_csn__1,1.8423197545,-0.158711963,-0.0734486025
nac_ntrc__wt_csn__2,1.4611727752,-0.20401648900000002,-0.1056086415
nac_ntrc__wt_cytd__1,0.18050510900000002,-0.22330206500000002,0.0931236545
nac_ntrc__wt_cytd__2,0.0537685171,-0.148782092,0.11562003450000001
nac_ntrc__wt_gln__1,1.6275128159,-0.133928986,0.3107882125
nac_ntrc__wt_gln__2,1.5440154173,-0.07252378100000001,0.4495536755
nac_ntrc__bw_delnac_csn__1,3.4646607748,-0.17298681200000002,0.24024664550000002
nac_ntrc__bw_delnac_csn__2,3.6735549414,-0.207335707,0.1500497735
nac_ntrc__bw_delnac_cytd__1,1.3199989669,-0.39908493100000003,0.4465692275
nac_ntrc__bw_delnac_cytd__2,1.4268874633,-0.458070531,0.46664448950000004
nac_ntrc__bw_delnac_gln__1,1.0398339176,-0.387752121,0.6344954095
nac_ntrc__bw_delnac_gln__2,1.2246062,-0.318289392,0.6517965395
nac_ntrc__bw_delnac_nh4__1,-0.3896145942,-0.40746298400000003,0.0492521515
nac_ntrc__bw_delnac_nh4__2,0.050895953800000004,-0.431925496,0.0915861905
misc__wt_no_te__1,0.6777168570000001,-0.574722853,0.8055963485000001
misc__wt_no_te__2,0.0525209352,-0.434576408,0.7341074955
misc__bw_delcbl__1,0.11459349020000001,-0.544797561,0.0352814555
misc__bw_delcbl__2,0.4541754759,-0.510121476,0.0774423845
misc__bw_delfabr__1,0.2284891612,-0.54688357,-0.1645777105
misc__bw_delfabr__2,-0.039199820100000005,-0.5969020620000001,-0.3014689525
misc__bw_delfadr__1,0.0734250223,-0.631839469,0.022761246500000002
