,-0.10250276690323866,-0.06833517793549243,-0.0341675889677462,2.7755575615628914e-17,0.03416758896774626,0.0683351779354925,0.10250276690323872,0.13667035587098492,0.17083794483873116,0.2050055338064774,0.23917312277422365,0.27334071174196983,0.3075083007097161,0.3416758896774623,0.3758434786452085,0.4100110676129548,0.444178656580701,0.4783462455484472,0.5125138345161935,0.5466814234839397
thresh,-0.11958656138711177,0.11958656138711177,1,,,,,,,,,,,,,,,,,
unreg,2,3,209,3463,199,4,2,1,0,0,0,0,1,0,1,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],['STM0164'],[],[],[],[],['STM0163'],[],['STM0162'],[],['kdgT'],[],[],[]
