sample,BSU_tRNA_62
LBexp_1,15.6949
LBexp_2,15.6845
LBexp_3,15.2241
LBtran_1,13.154000000000002
LBtran_2,13.61
LBtran_3,13.401
LBstat_1,14.2076
LBstat_2,14.0114
LBstat_3,13.867
LBGexp_1,15.0278
LBGexp_2,14.1268
LBGexp_3,14.7796
LBGtran_2,13.5324
LBGtran_3,14.2538
LBGstat_1,15.3859
LBGstat_2,15.6006
LBGstat_3,13.5878
S0_1,15.0961
S0_2,15.7575
S0_3,15.639
S1_1,15.1821
S1_2,14.9832
S1_3,14.776
S2_1,14.7193
S2_2,13.9442
S2_3,13.7805
S3_1,14.8453
S3_2,14.7141
S4_1,14.6438
S4_2,14.0911
S4_3,13.1207
S5_1,14.0521
S5_2,13.976
S5_3,14.1475
S6_1,13.1573
S6_2,8.8443
S6_3,12.8851
S6/t_1,12.7754
S6/t_2,9.1997
S6_4,12.6091
S6_5,13.4932
S6_6,13.3525
S7_4,13.4093
S7_5,12.7489
S7_6,13.359000000000002
S8_4,13.1633
S8_5,11.5701
G135_1,15.8454
G135_3,14.7534
G150_1,15.1482
G150_2,16.0113
G150_3,15.1493
G180_1,15.1539
G180_2,15.4852
G180_3,15.0141
C30_1,15.1967
C30_2,15.9213
C90_1,13.4239
C90_2,13.4687
BI_1,14.1064
BI_2,14.0924
BC_2,13.0206
BC/t_1,12.9618
BC/t_2,13.0856
BC_1,12.5436
Sw_1,12.9175
Sw_2,13.0235
BT_1,14.4736
BT_2,13.3515
B36_1,13.5568
B36_2,13.2263
B60_1,13.9617
B60_2,14.1734
M9exp_1,14.9042
M9exp_2,14.4065
M9exp_3,14.368
M9tran_1,13.8693
M9tran_2,13.7805
M9tran_3,14.2034
M9stat_1,12.656
M9stat_2,12.5571
M9stat_3,12.4293
M+G_1,13.6176
M+G_2,14.9326
M+G_3,15.0292
Glu_1,14.8271
Glu_2,15.3419
Glu_3,15.2526
Fru_1,15.3061
Fru_2,15.4351
Fru_3,14.4881
Mal_1,13.3594
Mal_2,14.7976
Mal_3,14.6186
G+S_2,14.3025
G+S_3,14.4644
Pyr_1,14.1545
Pyr_2,15.0297
Pyr_3,14.6984
Gly_1,13.8821
Gly_2,14.3713
Gly_3,13.5351
Glucon_1,14.0429
Glucon_2,14.4599
Glucon_3,13.6782
aero_1,15.9614
aero_2,14.0953
aero_3,15.3734
nit_1,14.8838
nit_2,15.0282
nit_3,14.4082
ferm_1,14.6655
ferm_2,14.3377
ferm_3,15.1625
T-5.40H_1,14.7479
T-4.40H_1,14.9843
T-3.40H_1,14.7117
T-2.40H_1,14.329
T-1.40H_1,14.4468
T-1.10H_1,14.3459
T-0.40H_1,14.5446
T0.0H_1,14.0671
T0.30H_1,14.2011
T1.0H_1,13.4029
T1.30H_1,13.1683
T2.0H_1,13.0144
T2.30H_1,13.4602
T3.0H_1,13.1329
T3.30H_1,13.7903
T4.0H_1,13.5615
T5.0H_1,13.007
HPh_1,15.092
HPh_2,14.9734
HPh_3,15.415
LPh_1,15.2138
LPh_2,15.812
LPh_3,15.2964
LPhT_1,13.9158
LPhT_2,14.0229
LPhT_3,14.3568
SMMPr_1,13.8217
SMMPr_2,13.3233
SMMPr_3,13.6934
HiTm_1,12.9039
HiTm_2,14.5337
HiTm_3,14.6684
LoTm_1,14.0639
LoTm_2,13.8892
LoTm_3,13.8555
HiOs_1,13.4263
HiOs_2,13.6404
HiOs_3,13.4732
BMM_1,15.1976
BMM_2,15.0737
BMM_3,14.9154
Heat_1,15.2963
Heat_2,15.0932
Heat_3,14.2926
Cold_1,15.871
Cold_2,15.0805
Cold_3,14.2554
Etha_1,11.5345
Etha_2,10.9666
Etha_3,11.4453
SMM_1,14.0763
SMM_2,14.2706
SMM_3,14.5816
Salt_1,13.9566
Salt_2,14.0091
Salt_3,13.9104
Mt0_1,15.7387
Mt0_3,15.3719
M0t45_1,15.0101
M0t45_2,15.7355
M0t45_3,15.0074
M0t90_1,12.1388
M0t90_2,13.9837
M0t90_3,12.6598
M40t45_1,14.5594
M40t45_2,13.7607
M40t45_3,15.0764
M40t90_1,12.4602
M40t90_2,13.5128
M40t90_3,12.8702
dia0_1,15.1353
dia0_2,15.5417
dia0_3,15.6431
dia5_1,13.3062
dia5_2,14.2472
dia5_3,14.0581
dia15_1,14.9157
dia15_2,15.7693
dia15_3,14.1709
Diami_1,14.2666
Diami_2,14.0501
Diami_3,14.2242
Paraq_1,15.6193
Paraq_2,16.1323
Paraq_3,14.143
H2O2_1,14.9748
H2O2_2,15.2951
H2O2_3,14.7168
Oxctl_1,14.8973
Oxctl_2,15.5899
Oxctl_3,16.2575
GM-0.1_1,14.2812
GM-0.2_1,14.0371
GM+5_1,14.1643
GM+15_1,14.5839
GM+25_1,15.1865
GM+45_1,14.8698
GM+60_1,14.7541
GM+90_1,14.8754
GM+120_1,13.8534
GM+150_1,14.5375
GM-0.1_2,14.9471
GM-0.2_2,14.1613
GM+5_2,14.7601
GM+10_2,14.3605
GM+15_2,14.2009
GM+25_2,14.9499
GM+45_2,13.7685
GM+60_2,13.5223
GM+90_2,15.01
GM+150_2,13.8442
GM-0.1_3,14.5719
GM-0.2_3,14.8426
GM+5_3,15.1527
GM+10_3,14.0369
GM+15_3,14.2183
GM+25_3,14.2772
GM+45_3,13.4483
GM+60_3,13.7403
GM+90_3,13.8045
GM+120_3,14.2391
GM+150_3,14.4102
MG-0.1_1,14.7818
MG+5_1,14.5908
MG+10_1,15.338
MG+15_1,14.4687
MG+25_1,15.012
MG+45_1,14.4417
MG+120_1,13.7277
MG+150_1,14.1205
MG-0.1_2,13.4306
MG-0.2_2,14.5331
MG+5_2,14.3892
MG+10_2,15.0008
MG+15_2,14.6063
MG+25_2,14.0988
MG+45_2,13.9917
MG+60_2,14.4104
MG+90_2,14.3779
MG+120_2,14.2332
MG-0.1_3,15.2823
MG-0.2_3,14.4557
MG+5_3,14.3604
MG+10_3,13.6064
MG+15_3,15.0667
MG+25_3,14.8976
MG+45_3,15.3096
MG+60_3,14.7733
MG+90_3,14.6601
MG+120_3,13.7483
MG+150_3,14.4233
