,yifE
Cr_1,-0.0005877370616244582
Cr_2,-0.00041280580838762336
Cr_3,0.001095662265672315
Cr_4,-0.0006997993779845383
Cr_5,-0.003577332399546723
Cr_6,-0.007545879954700758
Fe_1,-0.003510522382642693
Fe_2,-0.00040366426459773736
Fe_3,0.01544956518478378
Fe_4,0.034861165375998766
Fe_5,0.055447258836505496
Fe_6,0.08014119713661516
Cd_1,0.0031106295805978213
Cd_2,0.007151713441524523
Cd_3,0.011199518325557049
Cd_4,0.0156776580472671
Cd_5,0.015515805296168469
Cd_6,0.019845166815950985
Zn_1,-0.0031435515580860826
Zn_2,-0.005903993518117063
Zn_3,-0.01102368448126907
Zn_4,-0.013078657322993029
Zn_5,-0.014102055164262146
Zn_6,-0.01728878991280327
Cu_1,0.006589866089321229
Cu_2,0.012594550572731598
Cu_3,0.017294672677644916
Cu_4,0.021413736951174076
Cu_5,0.02680957535096478
Cu_6,0.03743036378783221
Pb_1,0.00659225323356114
Pb_2,0.012877032592239136
Pb_3,0.023232225192146197
Pb_4,0.0361952390902286
Pb_5,0.04772510408664372
Pb_6,0.059787643464452776
