,yhfL
Cr_1,-0.010295281760819558
Cr_2,-0.04697259521076737
Cr_3,0.06453917207370573
Cr_4,0.021401889604660992
Cr_5,-0.02056079111870144
Cr_6,-0.0942719542942275
Fe_1,-0.017055129828374652
Fe_2,0.009238763395418416
Fe_3,8.491561512291708e-05
Fe_4,-0.008238570994318859
Fe_5,0.024025453714635818
Fe_6,0.07296253754011779
Cd_1,0.011493827769442898
Cd_2,0.017565273011479546
Cd_3,0.036146777878688745
Cd_4,-0.008326159550500627
Cd_5,-0.046099815769824734
Cd_6,-0.07262819390134855
Zn_1,-0.006343197098233167
Zn_2,0.00663102344833401
Zn_3,0.015357044144718543
Zn_4,0.02657561364928593
Zn_5,0.05434645723604044
Zn_6,0.11475097084582678
Cu_1,-0.006518266704908815
Cu_2,-0.027265733295985847
Cu_3,-0.04707385342682609
Cu_4,-0.0569689158034379
Cu_5,-0.05429110629773401
Cu_6,-0.08371893002674292
Pb_1,-0.12808453575202508
Pb_2,-0.18565004116901684
Pb_3,-0.22899861450625736
Pb_4,-0.2545716705912095
Pb_5,-0.25046489382893844
Pb_6,-0.2454033657983037
