,aidB
Cr_1,0.003123603121171431
Cr_2,0.0070179576066228535
Cr_3,0.014997264686192488
Cr_4,0.02216521847933941
Cr_5,0.022116341282560792
Cr_6,0.027352166853866426
Fe_1,-0.011082310471298859
Fe_2,-0.024228032699854955
Fe_3,-0.02943762884256753
Fe_4,-0.02943480374480027
Fe_5,-0.02102961765757333
Fe_6,-0.009207279091931215
Cd_1,0.002515618731592271
Cd_2,0.009356046690728122
Cd_3,0.012344540814387732
Cd_4,0.01942413032654744
Cd_5,0.02482726869734931
Cd_6,0.03139331866355101
Zn_1,-0.0019962321131329844
Zn_2,-0.010711289911329984
Zn_3,-0.011852174157427509
Zn_4,-0.004218622400932285
Zn_5,-0.003159870228803156
Zn_6,0.0071182813198607375
Cu_1,0.0014869429644609304
Cu_2,0.009380002976206916
Cu_3,0.018410674872021037
Cu_4,0.02074476928522212
Cu_5,0.02192132491182429
Cu_6,0.021894577258008918
Pb_1,0.0017434188519517295
Pb_2,0.00014701120859354506
Pb_3,0.003315950013027076
Pb_4,0.01211661159831894
Pb_5,0.02414624374783483
Pb_6,0.03085779447529235
