,0
name,CymR-2
TF,CymR
regulator,"<a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27520"" target=""_blank"">CymR</a>"
function,
category,Misc. Metabolism
has_venn,True
scatter,1
exp_var,0.0028743945608804555
precision,0.8571428571428571
recall,0.42857142857142855
