,Value,list
TF,CymR,
reg_genes,42,"['yxeQ' 'mccA' 'sirB' 'yxeK' 'ascR' 'mccB' 'tcyP' 'yrrT' 'cysC' 'cysH'
 'yxeO' 'mtnN' 'sat' 'yxeM' 'sumT' 'sndB' 'sirC' 'cysP' 'calJ' 'snaB'
 'yrhC' 'ydbM' 'cysK' 'yxeN']"
comp_genes,21,['senS' 'nadC' 'fabHB']
both_genes,18,"['sndA' 'cmoJ' 'cmoI' 'ssuA' 'ssuC' 'tcyL' 'tcyJ' 'yezD' 'ribR' 'snaA'
 'tcyN' 'tcyK' 'tcyM' 'ygaN' 'ssuB' 'cmoO' 'ssuD' 'ytnM']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
