,fecA
Cr_1,0.002642642532903202
Cr_2,0.003115855027141684
Cr_3,0.004548630504315287
Cr_4,0.00404163366251923
Cr_5,0.012448248975665635
Cr_6,0.011249660079351027
Fe_1,-0.02029362271487595
Fe_2,-0.031262309118711765
Fe_3,-0.034068069969483375
Fe_4,-0.03182507654924985
Fe_5,-0.024628165980680482
Fe_6,-0.01799179088866949
Cd_1,0.0020589977154918887
Cd_2,0.005739383117315606
Cd_3,0.006298802693521345
Cd_4,0.009773849866437546
Cd_5,0.0020638246991276565
Cd_6,0.0015439032985327089
Zn_1,-0.002958124380538308
Zn_2,0.008970915063474033
Zn_3,0.02484863098634971
Zn_4,0.038292629963872865
Zn_5,0.053865858782405
Zn_6,0.06409345139294599
Cu_1,-0.001968155631042281
Cu_2,0.003988550416073514
Cu_3,0.007293918747031036
Cu_4,0.015321674697781796
Cu_5,0.02015100357200946
Cu_6,0.016770636115007658
Pb_1,0.011544595934653741
Pb_2,0.01696967113648396
Pb_3,0.023207748794211388
Pb_4,0.033611532271027734
Pb_5,0.04679875001322476
Pb_6,0.05903071768049362
