,nfnB
Cr_1,0.00428676097029035
Cr_2,0.016115771130425983
Cr_3,0.009482513465845523
Cr_4,-0.00448140269835079
Cr_5,-0.011708694643046698
Cr_6,-0.02184637501405585
Fe_1,-0.008811058670576171
Fe_2,-0.0042000882764460425
Fe_3,0.030664400549724264
Fe_4,0.06308582313788484
Fe_5,0.08919334996318233
Fe_6,0.1188845228247418
Cd_1,0.0025550494093947718
Cd_2,0.005785871437104103
Cd_3,0.009942591526016542
Cd_4,0.00679056683988299
Cd_5,-0.002578313560082641
Cd_6,0.0001582839318518028
Zn_1,-0.15245714087508694
Zn_2,-0.1857509738909986
Zn_3,-0.20578408509800653
Zn_4,-0.20163038014009974
Zn_5,-0.19324001681231584
Zn_6,-0.18435725534433275
Cu_1,0.005177889813392656
Cu_2,0.01169692282831432
Cu_3,0.01973864828628532
Cu_4,0.03103500316918045
Cu_5,0.036043802865092005
Cu_6,0.038943677087270666
Pb_1,0.00934086481687595
Pb_2,0.011526537559029722
Pb_3,0.022731563091199072
Pb_4,0.04117107516857461
Pb_5,0.057142253687571025
Pb_6,0.06798653299078053
