,yaeH
Cr_1,-0.006009312291519145
Cr_2,-0.009620011206995068
Cr_3,-0.01807200825310011
Cr_4,-0.022412666346112532
Cr_5,-0.02492778779329477
Cr_6,-0.033902068074631496
Fe_1,-0.008882136046035025
Fe_2,-0.034187033354989974
Fe_3,-0.05676329613094689
Fe_4,-0.08353356444570867
Fe_5,-0.10359186375191906
Fe_6,-0.12655790047012613
Cd_1,-0.001296860813727372
Cd_2,-0.0009870839410193093
Cd_3,-0.0017696302384067413
Cd_4,0.003416242194965045
Cd_5,0.002754522080997684
Cd_6,0.0073534166849359844
Zn_1,0.00910251132830245
Zn_2,0.012439226735994608
Zn_3,0.028816450247326843
Zn_4,0.05288548848767153
Zn_5,0.05966761882397534
Zn_6,0.07309843847777424
Cu_1,0.005424644300951039
Cu_2,0.008181002459632911
Cu_3,0.008200154842624957
Cu_4,0.011887397763083994
Cu_5,0.014083223687118963
Cu_6,0.021514918529786157
Pb_1,0.006931398873064639
Pb_2,0.012742738329107632
Pb_3,0.029537126844522407
Pb_4,0.049037451411838656
Pb_5,0.0660531849454566
Pb_6,0.0770419282077614
