,tgt
Cr_1,0.00041371097445740807
Cr_2,-0.005024590181041884
Cr_3,-0.008450247723181486
Cr_4,-0.015301060110439604
Cr_5,-0.017288885258347812
Cr_6,-0.019858895665995517
Fe_1,-0.01857154827183269
Fe_2,-0.03589175151685998
Fe_3,-0.03718862777542248
Fe_4,-0.02139385750136379
Fe_5,-0.009909356781351865
Fe_6,0.0011581513087020505
Cd_1,0.004570587562196942
Cd_2,0.013368402954757002
Cd_3,0.021378903306120974
Cd_4,0.030530541624545274
Cd_5,0.03476668133208926
Cd_6,0.04375812040033799
Zn_1,-0.0017562877142746494
Zn_2,0.0020585633988602
Zn_3,0.01988825824781376
Zn_4,0.05410174304330315
Zn_5,0.08137040114488524
Zn_6,0.10769905947752463
Cu_1,0.005952803689675004
Cu_2,0.010329041306285165
Cu_3,0.01664416769148726
Cu_4,0.01681126319740185
Cu_5,0.01783767976178309
Cu_6,0.019101413309407633
Pb_1,0.00551341139070189
Pb_2,0.013058899237165352
Pb_3,0.019847334456211046
Pb_4,0.01845941136438033
Pb_5,0.014541138923053691
Pb_6,0.013881909107113049
