,A,AbrB
R2,,0.303119552857956
xmin,,-5.1769
xmid,,-1.463698606508259
xmax,,2.0083
ystart,,7.816510934540631
yend,,-17.834098086717837
LBexp_1,-20.2499921444,0.7948000000000001
LBexp_2,-15.1734387341,0.4606
LBexp_3,-14.6139775458,0.3264
LBtran_1,-1.5851513748000001,-0.7348
LBtran_2,-2.1335079281000002,-0.0745
LBtran_3,-2.1964190824,-0.45780000000000004
LBstat_1,2.5837875868999998,-2.1904
LBstat_2,4.4112823222,-2.0722
LBstat_3,3.0070084304,-2.2662
LBGexp_1,-21.9051125576,0.7712
LBGexp_2,-19.684555367,0.797
LBGexp_3,-20.1298435677,1.1097
LBGtran_2,-8.0079939023,-0.8738
LBGtran_3,-10.6481349919,-0.0146
LBGstat_1,-9.1440967919,-3.5777
LBGstat_2,-6.229982246,-3.6385
LBGstat_3,-5.8797457964,-2.7126
S0_1,-3.0915420798,1.698
S0_2,-5.5260416998,1.5099
S0_3,-6.0239412184,1.8852000000000002
S1_1,9.6430787931,1.4567
S1_2,6.5925714491,1.3363
S1_3,8.4647917241,1.3587
S2_1,13.9516876859,-0.4988
S2_2,16.0811975454,-0.7447
S2_3,16.4570904864,-0.9626
S3_1,10.0369185475,-0.2619
S3_2,10.5888828775,-1.1104
S4_1,7.0466484436,-1.19
S4_2,6.8543204205,-1.4998
S4_3,9.4488196524,-1.5569000000000002
S5_1,2.3055250428000003,-1.5016
S5_2,0.7286081583,-1.5248
S5_3,2.7748995874,-1.1743999999999999
S6_1,-4.015729232,-1.9984000000000002
S6_2,-6.0343300896,-4.7202
S6_3,-1.5836994499000001,-1.6367
S6/t_1,-5.1523017725,-2.1378
S6/t_2,-7.7423858843,-5.1769
S6_4,-2.164603432,-3.0233
S6_5,-1.9765519945,-2.5042999999999997
S6_6,-0.7142268125,-2.3424
S7_4,-3.5156877384,-2.4318
S7_5,-3.7655364437000003,-2.7285
S7_6,-2.8737269311,-2.6648
S8_4,-5.8080286384,-2.9714
S8_5,-5.5645731518,-3.6661
G135_1,-27.5526120513,0.2674
G135_3,-23.9904986287,-0.6263000000000001
G150_1,-24.7356538344,-0.5568000000000001
G150_2,-28.232597129,-0.1711
G150_3,-26.4183466585,-0.44630000000000003
G180_1,-30.0152943646,1.7185000000000001
G180_2,-33.0951205327,2.0083
G180_3,-27.477877011,1.0097
C30_1,-13.2510490507,-0.29050000000000004
C30_2,-13.8169388624,-0.1932
C90_1,-8.6641454053,0.2096
C90_2,-8.7563943051,0.23900000000000002
BI_1,1.1602757126,0.2948
BI_2,2.7640622405,0.5384
BC_2,3.9925762838,0.33080000000000004
BC/t_1,3.138549044,-0.0979
BC/t_2,0.8823063662,0.2019
BC_1,5.698558232,-0.3467
Sw_1,-1.0901667585,1.3793
Sw_2,0.6175779248000001,1.0835
BT_1,9.1677088,0.0385
BT_2,7.5180544391,-0.7459
B36_1,13.943081212100001,0.7423000000000001
B36_2,12.0627359598,-0.0878
B60_1,17.5537689434,0.1355
B60_2,15.4170445499,-0.1804
M9exp_1,0.1601843809,0.3749
M9exp_2,0.0863844097,0.0682
M9exp_3,-0.2465687906,-0.4431
M9tran_1,18.7790225219,-0.6284000000000001
M9tran_2,19.6744503629,-0.9186000000000001
M9tran_3,19.1831006727,-0.46830000000000005
M9stat_1,15.0110266479,-4.1317
M9stat_2,16.9040018498,-2.3035
M9stat_3,16.9841714539,-2.7038
M+G_1,11.5360960667,-1.3026
M+G_2,9.0134345164,-1.0842
M+G_3,8.4120543666,-0.8692000000000001
Glu_1,3.6128915957,0.1255
Glu_2,-0.2066473172,-0.027100000000000003
Glu_3,-0.4295310209,0.265
Fru_1,-24.5246537189,0.9306000000000001
Fru_2,13.8740701687,-0.2427
Fru_3,5.257237731,-0.4687
Mal_1,11.8700966662,-0.8561000000000001
Mal_2,4.1207768776,-0.679
Mal_3,2.3043663034,-0.6459
G+S_2,11.9990943572,0.2281
G+S_3,9.8531686119,0.4106
Pyr_1,15.9032727653,-1.2953999999999999
Pyr_2,16.8744780814,-0.5575
Pyr_3,16.8424864153,-1.0185
Gly_1,-5.9841882739,1.0144
Gly_2,-3.1824609499,1.2594
Gly_3,-5.5550814908,0.2099
Glucon_1,1.7156651835,-0.19940000000000002
Glucon_2,-3.3546173917,0.5993
Glucon_3,-11.632615483,-1.291
aero_1,4.6876670912,-1.2072
aero_2,10.4542367768,-2.4774000000000003
aero_3,8.0278982377,-1.1792
nit_1,12.8234486135,-1.8241
nit_2,15.9427505398,-1.7459
nit_3,16.7287589116,-1.8996
ferm_1,14.8331787731,-2.2624
ferm_2,13.5846713326,-1.9586000000000001
ferm_3,12.6798184687,-1.7375
T-5.40H_1,14.4054162139,0.44220000000000004
T-4.40H_1,14.7814819132,0.22760000000000002
T-3.40H_1,18.0870361405,-0.6219
T-2.40H_1,20.978956749399998,-1.3127
T-1.40H_1,22.4767679859,-1.4637
T-1.10H_1,21.3590177565,-1.2424
T-0.40H_1,22.5753943624,-1.3366
T0.0H_1,23.6140736817,-1.6728
T0.30H_1,18.6519520992,-1.0435
T1.0H_1,21.4678432984,-2.7283
T1.30H_1,21.3253166591,-2.3774
T2.0H_1,18.5156876223,-2.5376000000000003
T2.30H_1,19.5246031439,-1.8049
T3.0H_1,18.6343106394,-2.7273
T3.30H_1,17.7410894558,-2.9607
T4.0H_1,17.8055581892,-3.5535
T5.0H_1,15.3997325958,-4.5665
HPh_1,-10.6273655102,1.5547
HPh_2,-13.0685356355,1.3934
HPh_3,-12.3147749801,1.9864000000000002
LPh_1,-15.7701951734,1.5270000000000001
LPh_2,-16.596269336,1.6238000000000001
LPh_3,-15.9483844389,1.4903
LPhT_1,7.3910735807,0.7386
LPhT_2,5.5435532462,0.49060000000000004
LPhT_3,5.7713919388,0.5355
SMMPr_1,17.2939711655,-0.5207
SMMPr_2,19.3836293821,-0.5179
SMMPr_3,20.6092271001,-0.30770000000000003
HiTm_1,0.6861235701,-0.7024
HiTm_2,-1.8376917804000001,0.04
HiTm_3,-0.9664901113000001,0.4455
LoTm_1,16.4835047234,-2.0176
LoTm_2,17.0066155457,-2.0883
LoTm_3,16.0653697111,-1.9993
HiOs_1,8.3214440989,1.1256
HiOs_2,6.9078167972,0.9036000000000001
HiOs_3,9.3836134303,1.097
BMM_1,-7.9161896765,-0.399
BMM_2,-8.724154243000001,-0.3498
BMM_3,-10.7828127651,0.2467
Heat_1,-8.1847092703,-0.1899
Heat_2,-8.1863103538,-0.4242
Heat_3,-6.2099953871,-0.39580000000000004
Cold_1,-15.4764817644,-0.5064000000000001
Cold_2,-13.8803847379,-0.9898
Cold_3,-14.0433676964,-0.9776
Etha_1,-10.4766481238,1.8905
Etha_2,-7.6795780163,1.7836
Etha_3,-9.837287699600001,1.749
SMM_1,9.6000868283,-0.3574
SMM_2,12.3966439491,-0.4308
SMM_3,10.0984650073,-0.3135
Salt_1,-4.6286361025,-0.3688
Salt_2,-5.6692648689,-0.34090000000000004
Salt_3,-4.9949070997,-0.709
Mt0_1,-15.7142618833,0.7413000000000001
Mt0_3,-18.6360850394,0.7671
M0t45_1,-3.7413686827,-0.7584000000000001
M0t45_2,-9.9602740712,0.1269
M0t45_3,-4.9775777603,-0.4571
M0t90_1,3.3885333884,-3.0715
M0t90_2,6.2183478665,-2.2885
M0t90_3,6.8349441212,-2.9062
M40t45_1,-4.3860392505,-1.3661
M40t45_2,3.8172757153,0.20090000000000002
M40t45_3,-7.1120482076,-0.5898
M40t90_1,3.0161182127,-2.8601
M40t90_2,5.7853496965,-2.2738
