,A,flhD
R2,,0.0860215329200581
xmin,,-4.8555074220000005
xmid,,
xmax,,3.101601013
ystart,,-3.616317621323156
yend,,0.33494994725442395
control__wt_glc__1,-0.4916304656,-0.12659477300000002
control__wt_glc__2,0.4916304656,0.12659477300000002
fur__wt_dpd__1,-4.7355192402,-1.767465609
fur__wt_dpd__2,-5.3717877637,-1.880887454
fur__wt_fe__1,-2.8900568129,-0.301989067
fur__wt_fe__2,-2.4497087754,-0.276890647
fur__delfur_dpd__1,-4.7554487636000005,-2.018074196
fur__delfur_dpd__2,-4.6101247797,-1.910472906
fur__delfur_fe2__1,-0.3911303243,0.13425278300000001
fur__delfur_fe2__2,-1.1003883055,0.121330005
acid__wt_ph5__1,-2.8883937365000003,-0.7547466570000001
acid__wt_ph5__2,-3.0109458069,-0.7751480550000001
acid__delgadx_ph5__2,-2.8550479831,-0.668438976
acid__delgadw_ph5__1,-2.1984902403,-1.057638203
acid__delgadw_ph5__2,-2.0164071209,-0.7929399760000001
acid__delgade_ph5__1,-3.0803498189,-0.675653637
acid__delgade_ph5__2,-2.8959839204,-0.8510678880000001
oxidative__wt_pq__1,-5.7122331979,-1.956612878
oxidative__wt_pq__2,-5.5788428272,-2.460791912
oxidative__deloxyr_pq__1,-4.3342447908,-1.464179796
oxidative__deloxyr_pq__2,-5.276165604,-1.811936766
oxidative__delsoxr_pq__1,-4.8833733476,-1.304104916
oxidative__delsoxr_pq__2,-5.581029039,-1.859776541
oxidative__delsoxs_pq__1,-5.9701610045999995,-1.996021893
oxidative__delsoxs_pq__2,-6.1703014394,-1.403336773
nac_ntrc__wt_csn__1,-5.2687531341,-0.912579389
nac_ntrc__wt_csn__2,-4.2523637581,-0.8109859920000001
nac_ntrc__wt_cytd__1,-3.5583677402,-0.728730195
nac_ntrc__wt_cytd__2,-4.4784942617,-0.8302642440000001
nac_ntrc__wt_gln__1,-5.0513637808,-0.287646832
nac_ntrc__wt_gln__2,-5.0031830238,-0.7679582970000001
nac_ntrc__bw_delnac_csn__1,-5.855498792,-1.114148526
nac_ntrc__bw_delnac_csn__2,-5.1008736722,-1.174369788
nac_ntrc__bw_delnac_cytd__1,-2.833459816,0.113220678
nac_ntrc__bw_delnac_cytd__2,-2.6881159235,-0.35367678900000005
nac_ntrc__bw_delnac_gln__1,-1.8122799235,-0.24886122600000002
nac_ntrc__bw_delnac_gln__2,-3.2772041718000002,-0.274518048
nac_ntrc__bw_delnac_nh4__1,0.9799030971,1.615777079
nac_ntrc__bw_delnac_nh4__2,0.6999274384,1.541546205
misc__wt_no_te__1,-3.5538430718000003,-0.731129448
misc__wt_no_te__2,-0.6833797439,-0.445726506
misc__bw_delcbl__1,0.4821241908,0.296964724
misc__bw_delcbl__2,0.8920735387000001,0.174066895
misc__bw_delfabr__1,0.2338751734,2.249422247
misc__bw_delfabr__2,-0.3372077408,2.202174337
misc__bw_delfadr__1,2.6902730414000002,1.071501677
misc__bw_delfadr__2,2.9802978170000003,1.091158002
misc__nitr_031__1,-3.1631108634,-0.5800470750000001
omics__wt_glu__1,-2.3112283982,-0.153124544
omics__wt_glu__2,-1.3457909765,-0.28167442600000003
omics__wt_gly__1,0.11592145000000001,-0.229133585
omics__wt_gly__2,-0.338086663,-0.049074383000000006
omics__wt_thr__1,-4.6041169116,-0.06289704
omics__wt_thr__2,-3.8347477378,-0.023168447
omics__bw_ac__1,1.3626303242,0.7029883920000001
omics__bw_ac__2,-0.27461868040000004,1.087496802
omics__bw_fum__1,-0.2524472535,0.920113316
omics__bw_fum__2,-0.0576737728,0.887568515
omics__bw_glc__1,-1.8974421059000002,0.509963614
omics__bw_glc__2,-1.7264761623,0.142197096
omics__bw_pyr__1,-0.3045733765,0.759018077
omics__bw_pyr__2,-1.1986770283000001,0.888819797
ompr__wt_nacl__1,-6.0817874812,-1.39192601
ompr__wt_nacl__2,-6.0175175618,-2.051410534
ompr__bw_delompr_nacl__1,-0.3924167978,-3.2615163640000002
ompr__bw_delompr_nacl__2,-0.25283352870000003,-2.303239407
minspan__wt_ade__1,0.42436304210000003,1.456916161
minspan__wt_glc__2,0.3723659603,2.057132309
minspan__wt_glc__3,-0.9892646164000001,2.290942062
minspan__wt_glc__4,-1.1246611959,2.142775065
minspan__wt_glc_anaero__1,0.535427494,2.16048183
minspan__wt_glc_anaero__2,0.5780866318,1.96922437
minspan__wt_trp__1,1.5764465842000002,2.513728258
minspan__bw_delcra_glc__2,1.4887566367,1.111017702
minspan__bw_delcra_trp__1,1.0194904577,1.534987427
minspan__bw_delmntr__1,-1.5670253347,2.815457202
minspan__bw_delnac_ade__1,0.2729023826,1.17973262
minspan__bw_delnac_glc__1,-0.707632766,1.8793220970000002
cra_crp__wt_ac__1,1.091662619,0.781585265
cra_crp__wt_ac__2,0.8223109879,0.5945523030000001
cra_crp__wt_fru__1,1.5300902403,0.808830315
cra_crp__wt_fru__2,1.9200144002,0.8181565150000001
cra_crp__delcra_ac__1,-1.5374960674,0.253090647
cra_crp__delcra_ac__2,-1.7961098149999999,0.21494110400000002
cra_crp__delcra_fru__1,-1.8538424894,-0.966138084
cra_crp__delcra_fru__2,-3.1468911665,-1.084932887
cra_crp__delcra_glc__1,-0.5022625727,-0.35500254400000003
cra_crp__delcra_glc__2,-0.6146917793000001,-0.351496603
rpoB__wt_031__1,-0.35591110140000004,0.5000578760000001
rpoB__wt_044__1,-2.4727476229,-0.021210687000000002
rpoB__wt_lb__1,-0.8956636538,-0.695450046
rpoB__wt_lb__2,-2.2571366776,-0.707259162
rpoB__rpoBE546V_031__1,-1.6717616354,-0.32673598400000003
rpoB__rpoBE546V_044__1,-2.839079081,0.36384229
rpoB__rpoBE546V_lb__1,-3.5442213871,-1.043133153
