,A,Fnr,ihfB,Fis,NarL,ArcA
R2,,0.09318666267176423,0.045447820870566424,0.012445582957509749,0.012125744033508967,0.0021218885325855474
xmin,,-9.786193262000001,-2.3858350260000005,-4.616734858000001,-3.3278448574369563,-9.267007604
xmid,,,0.18442839645990627,-1.273560968515513,,
xmax,,2.044364117999999,1.6466498449999991,1.9071262229999988,1.2829432884999994,3.5163621913034038
ystart,,6.08030859233883,0.5588397771374061,-0.41541478426028833,-1.1689136602744066,1.8053157862243856
yend,,-1.8144758670150405,-2.9956242479553996,1.3182874283086123,1.0220517503961035,-0.41992701772531826
control__wt_glc__1,-0.336483898293407,-0.0526320000000009,0.08337238499999877,0.05150147099999991,0.0046058085000000295,0.03663697100000008
control__wt_glc__2,0.3364838982933972,0.05263199999999912,-0.08337238500000055,-0.051501471000001686,-0.0046058085000000295,-0.03663697100000008
fur__wt_dpd__1,-5.971877829627141,-0.2233275490000004,0.7158603249999995,-1.9217788310000008,0.7958407655000004,1.0583041259999997
fur__wt_dpd__2,-5.918984854520794,-0.20726320800000053,0.8566654449999991,-2.086369940000001,0.7809120795000002,1.1267206660000006
fur__wt_fe__1,1.429825607793368,-0.559124369000001,-0.0769950650000002,0.475979152999999,0.08602043750000021,-0.052645840000000284
fur__wt_fe__2,1.5087994896643522,-0.5180337210000019,-0.08671744500000145,0.4851470489999983,0.1956717155000005,-0.1298470389999995
fur__delfur_dpd__1,-5.520608000966281,-0.35869387400000186,0.6898034449999989,-1.6706239160000012,0.6368233544999997,1.1226786959999997
fur__delfur_dpd__2,-5.259228893956959,-0.3499676950000019,0.621869414999999,-1.3292528530000016,0.6053562415,1.0438290660000007
fur__delfur_fe2__1,-4.22982439483087,-0.2728296990000008,0.3658187149999996,0.15395407899999825,0.2292959385,0.03887232199999957
fur__delfur_fe2__2,-4.378577138745495,-0.2654058500000005,0.33581042499999825,0.014939036999999544,0.31020635650000017,0.005759821999999914
acid__wt_ph5__1,1.9549794712372937,-0.5248469310000008,0.2842574349999989,-0.03657761600000065,0.7226422634999999,0.907706566
acid__wt_ph5__2,2.0791470458900454,-0.5394919760000008,0.3016573449999989,0.033789607999999305,0.6039874684999997,0.8854765760000003
acid__delgadx_ph5__2,2.6058609630067013,-0.4808098230000013,0.03620512499999862,0.3585294089999991,0.7064404204999999,0.6386470709999994
acid__delgadw_ph5__1,2.2521944706460832,-0.5694477410000012,0.19517709499999825,0.13649145399999973,0.6671839154999999,0.7741884859999999
acid__delgadw_ph5__2,1.7142965884443964,-0.5457824470000006,0.1831834249999993,0.10350239899999993,0.6889960855000004,0.8036499260000003
acid__delgade_ph5__1,2.0380742832078806,-0.4965959550000018,0.3321859449999991,0.015072957999999304,0.4548568884999993,0.4993382329999996
acid__delgade_ph5__2,2.485177121809149,-0.5235996460000011,0.2395609849999989,-0.06379485400000108,0.4452644244999986,0.4822611769999998
oxidative__wt_pq__1,-2.876244631627531,-0.27798360400000105,0.9466146249999988,-2.6720057840000013,1.1253454755000003,2.1614953959999994
oxidative__wt_pq__2,-3.046528932369916,-0.40360473400000174,0.948808184999999,-2.689072338000001,1.2190429044999993,2.173902676000001
oxidative__deloxyr_pq__1,0.2663007087922407,-0.11731480800000148,0.8749087249999992,-2.2889415909999995,1.0256380375000012,2.1325921060000006
oxidative__deloxyr_pq__2,0.0617436327689481,-0.05299572400000052,0.9672342149999996,-2.1090517759999994,1.1128686854999996,2.155119376
oxidative__delsoxr_pq__1,-6.5802579896828925,-0.4695711340000006,1.0713253449999982,-2.1381601130000023,0.8344043914999997,2.1141333860000007
oxidative__delsoxr_pq__2,-6.197980609458407,-0.4755742960000013,1.1682316949999991,-2.140912192000001,0.8354505564999997,2.045519786
