,dusA
Cr_1,0.0041009844048553535
Cr_2,0.006816464083689103
Cr_3,0.011908576384632956
Cr_4,0.016573652904197544
Cr_5,0.02120960566051253
Cr_6,0.024658746339409243
Fe_1,-0.005769356150366936
Fe_2,-0.002132794403030384
Fe_3,0.025476853420114246
Fe_4,0.05378524575777517
Fe_5,0.07451207394222954
Fe_6,0.09218640171480093
Cd_1,0.006026884193938791
Cd_2,0.013481987419636476
Cd_3,0.023343600190495438
Cd_4,0.033839961029755006
Cd_5,0.03847701013361626
Cd_6,0.04771563692497384
Zn_1,-0.002183287013507069
Zn_2,-0.0039691564562510375
Zn_3,-0.000138045559770163
Zn_4,-0.004996564651435621
Zn_5,-0.003769374787185251
Zn_6,-0.006229055092561497
Cu_1,0.0019015611206482253
Cu_2,0.00031718893954166234
Cu_3,0.008753431238572735
Cu_4,0.017529474112228806
Cu_5,0.02982713593611872
Cu_6,0.043201000129886966
Pb_1,0.0001262852721900286
Pb_2,0.0050303806601546385
Pb_3,-0.002325138611381344
Pb_4,-0.0015746848829233774
Pb_5,-0.00022544528212268408
Pb_6,0.003575079232314022
