,slt
Cr_1,-0.003297883994098558
Cr_2,-8.512212663420314e-05
Cr_3,0.009302457575915994
Cr_4,0.01995280625440016
Cr_5,0.03195060145486089
Cr_6,0.04049398029555825
Fe_1,-0.00813870256762518
Fe_2,-0.028900678922629725
Fe_3,-0.048022873428287975
Fe_4,-0.07093993475896465
Fe_5,-0.09161738953013053
Fe_6,-0.1100020638397074
Cd_1,-0.006740896834251716
Cd_2,-0.011890822408755277
Cd_3,-0.015522875222174024
Cd_4,-0.01561240063654331
Cd_5,-0.02351417695728833
Cd_6,-0.024485715060347826
Zn_1,-0.008298324578581128
Zn_2,-0.01334662539879885
Zn_3,-0.018312449818827327
Zn_4,-0.023781414838299715
Zn_5,-0.031241147799757174
Zn_6,-0.037366400974945806
Cu_1,0.005803986003590425
Cu_2,0.012288979388450014
Cu_3,0.022129869823061882
Cu_4,0.031840655739267365
Cu_5,0.04332290854066054
Cu_6,0.0531532030518228
Pb_1,0.008957765994720477
Pb_2,0.017383010002444653
Pb_3,0.03033085377426995
Pb_4,0.047939244026113666
Pb_5,0.06845580066398331
Pb_6,0.0872381542721889
