,yabN
Cr_1,-0.0037939192582943275
Cr_2,0.006596862817639461
Cr_3,0.00467451948073249
Cr_4,0.002336450841427109
Cr_5,0.0020514335865377893
Cr_6,0.0014052779760159494
Fe_1,-0.03931731477881453
Fe_2,-0.03581800111265596
Fe_3,-0.018475509424948845
Fe_4,0.011142559361508613
Fe_5,-0.0020534738942671847
Fe_6,-0.026453391028503817
Cd_1,-0.010904159537600556
Cd_2,-0.01311003982790668
Cd_3,-0.012356145511093037
Cd_4,-0.004178867668314194
Cd_5,0.001977884254928412
Cd_6,0.004712983697080064
Zn_1,-0.029028117644181936
Zn_2,-0.04110214277497395
Zn_3,-0.028699793837692774
Zn_4,-0.012719413485656236
Zn_5,-0.019676565094916814
Zn_6,-0.0007232089362740233
Cu_1,0.004659797516864955
Cu_2,0.01339072881821761
Cu_3,0.011081134139047688
Cu_4,0.006665545859954661
Cu_5,0.01107568770431798
Cu_6,0.006779983759770509
Pb_1,-0.002276570742742282
Pb_2,0.011636614310418134
Pb_3,0.03001684978601968
Pb_4,0.029703478371378406
Pb_5,0.02725853839379953
Pb_6,0.03643881023252292
