,A,LexA
R2,,0.5876611072959228
xmin,,-3.6873092406
xmid,,-0.5535235803751962
xmax,,3.551763308
ystart,,-2.024362557540754
yend,,11.05369537903103
aat__00m_00s__1,-0.571419552,0.21345610950000002
aat__00m_30s__1,0.3890107444,0.0560427147
aat__01m_00s__1,0.6336672099,-0.0318801971
aat__02m_00s__1,0.2619299083,0.0986113649
aat__05m_00s__1,0.1236904619,-0.032799058400000004
aat__10m_00s__1,0.3313099357,-0.13535324710000002
aat__00m_00s__2,0.09340487930000001,-0.2736939055
aat__00m_30s__2,0.0798318412,0.0379758441
aat__01m_00s__2,-0.9783304818,-0.0397968997
aat__02m_00s__2,-0.5750501764,-0.2478123332
aat__05m_00s__2,-0.5162167876,-0.07040098900000001
aat__10m_00s__2,-0.7827735942,-0.0984861179
aat__00m_00s__3,0.47801467270000003,0.060237796
aat__00m_30s__3,-0.1449196901,0.1276113234
aat__01m_00s__3,0.00039766380000000003,0.059888556
aat__02m_00s__3,0.1297125462,0.11721442010000001
aat__05m_00s__3,-0.3786241354,0.1741593693
aat__10m_00s__3,-0.6120449471,0.0360779319
abx_mega__dmso-2__1,-4.6071017584,-2.7672731979
abx_mega__ery_dmso__1,1.0657717977,-0.1041593063
abx_mega__nal_naoh__1,3.4969524113,-1.2435699226999999
abx_mega__dmso-5__1,-2.0633444996,-0.3866704388
abx_mega__rif_dmso__1,-3.3308089974,-0.6360534396
abx_mega__novo_h2o__1,9.4601312393,-1.5185477034
abx_mega__rach_dmso__1,3.7449577362,0.6464264268000001
abx_mega__metro_dmso__1,2.3601589703,0.7320629096
abx_mega__dmso-6__1,-3.4484116858,-1.0514421106
abx_mega__chl_h2o__1,0.6107496256,-0.7348726173
abx_mega__cst_h2o__1,-0.9678051427000001,-0.3605945508
abx_mega__tec_h2o__1,-6.0250920939,-2.4226243584000002
abx_mega__str_h2o__1,-3.6507363994,-1.7491723997
abx_mega__ctx_h2o__1,-2.5695880081,-0.4719943461
abx_mega__nal_naoh__2,3.3181893335,0.7241115043
abx_mega__phos_h2o__1,-5.3598698494,-0.6705143162
abx_mega__dmso-5__2,0.1268210185,-0.1523698511
abx_mega__polmyx_h2o__1,-2.0473287386,-0.019972669800000002
abx_mega__h2o-8b__1,-0.7938456032000001,-0.39912844070000003
abx_mega__h2o-6__1,-1.3319650732000001,-0.19350428090000002
abx_mega__thio_dmso__1,-2.7843439283,-1.5789873405
abx_mega__phos_h2o__2,-2.8087923088,-0.3228054195
abx_mega__ctx_h2o__2,-3.5310364546,-0.2812358867
abx_mega__lzd_dmso__1,-1.2025035289,-0.9167735951
abx_mega__naoh-9__1,-2.8476273497999998,-0.42471529690000004
abx_mega__dox_dmso__1,-3.9973015198,-1.5380465094
abx_mega__phos_ethanol__1,-2.6740795522000003,-0.3423547521
abx_mega__teix_dmso__1,-8.558539830099999,-1.648603199
abx_mega__dmso-10__1,-1.6657689261000002,-0.41428744440000004
abx_mega__van_dmso__1,2.8568385696,0.8338182087
abx_mega__ramo_h2o__1,-4.2308189849,-0.4122688446
abx_mega__tec_h2o__2,-4.8902980506,-0.7412656399
abx_mega__h2o-7__1,-2.7141131128,-0.713159883
abx_mega__cro_h2o__1,-3.9615647296,-0.6976809375
abx_mega__tric_ethanol__1,-2.7127724865,-1.0474479203
abx_mega__nor_naoh__1,6.0075693445,1.2089031252
abx_mega__teix_dmso__2,-5.6777768134,-0.7534309621
abx_mega__nal_naoh__3,3.1461300078,0.7302680959000001
abx_mega__novo_h2o__2,8.8443390674,-1.4439634784
abx_mega__dmso-10__2,-1.344265326,-0.36776139680000003
abx_mega__phos_h2o__3,-2.1597680367,-0.3311263944
abx_mega__dmso-6__2,-4.2298363579,-0.8920029212
abx_mega__rfp_ethanol__1,3.0332191122,-0.8345750522000001
abx_mega__dmso-5__3,-2.5418559021,-0.4324448281
abx_mega__amyc-d_dmso__1,1.1767715441,0.1588223734
abx_mega__sxt_dmso__1,-2.3027723869,-0.9366619075
abx_mega__dmso-1__1,-3.4442583855,-0.9008236428
abx_mega__pen_h2o__1,-4.7700157804,-0.45187359200000005
abx_mega__dmso-10__3,-2.1812666046,-0.6501837948
abx_mega__nal_naoh__4,2.7660873619,0.43019613900000003
abx_mega__cip_naoh__1,6.9373029335,1.1313936102
abx_mega__pen_h2o__2,-4.0495942245,-0.0967922771
abx_mega__ery_dmso__2,-0.125738645,-0.4634489498
abx_mega__dmso-2__2,-5.0759804757,-2.3988673115
abx_mega__van_dmso__2,2.6388099521,0.6502955587
abx_mega__h2o-1b__1,-1.7724886382,0.0541005165
abx_mega__ery_h2o__1,-1.6336867129,-0.7630264977
abx_mega__bacit_h2o__1,-5.8046846877,-0.7278664819
abx_mega__chl_h2o__2,1.4757784035000001,-0.6925001034
abx_mega__str_h2o__2,-1.7846632458,-1.6621151185
abx_mega__rfp_ethanol__2,3.0747489444,-0.5209469019
abx_mega__polmyx_h2o__2,-1.7108336516,-0.2526649083
abx_mega__tric_h2o__1,1.0201974564,-0.41709045920000004
abx_mega__cip_naoh__2,4.0638010131,0.8446497470000001
abx_mega__novo_h2o__3,8.0826728595,-1.3103611554999999
abx_mega__bacit_dmso__1,-3.5845947536000002,-0.39683426380000003
abx_mega__gen_h2o__1,3.5288308726,-0.5930911640000001
abx_mega__bacit_dmso__2,-4.4071669659,-0.5157758239
abx_mega__chl_dmso__1,-0.33161019550000004,-0.6618996958000001
abx_mega__bacit_h2o__2,-6.8268172513,-1.0095900587
abx_mega__lvx_dmso__1,1.8374995146000002,0.39153897130000004
abx_mega__bacit_h2o__3,-6.1266830576,-0.9550324745000001
abx_mega__nor_naoh__2,5.7338000625,1.0820441508
abx_mega__amyc-d_dmso__2,-0.7143658071,0.17532934760000002
abx_mega__polmyx_h2o__3,-3.082116781,-1.3647957231
abx_mega__naoh-6__1,-1.6424962574,-0.1030792584
abx_mega__cst_h2o__2,-4.5376368019,-0.055539057600000004
abx_mega__h2o-1b__2,-2.0864437493,0.1340611615
abx_mega__rfp_h2o__1,1.0366452015,-0.6317871537
abx_mega__tet_h2o__1,-3.9630080469,-1.117317177
abx_mega__flavo_dmso__1,-5.2863459155,-0.9020775940000001
abx_mega__zeocin_h2o__1,1.6673877449,0.3553696968
abx_mega__nor_naoh__3,5.9146073152,1.0713810513
abx_mega__rach_dmso__2,5.374783953,0.6269860923
abx_mega__thio_dmso__2,-2.1144868393,-0.8184176179
abx_mega__amyc-d_dmso__3,0.628954472,0.3537058838
abx_mega__rif_dmso__2,-4.4118662870000005,-0.5535449112
abx_mega__amyc-d_dmso__4,0.9125059083,0.1088805935
abx_mega__teix_dmso__3,-5.5139113964,-0.44880827170000004
abx_mega__valin_dmso__1,-6.6853312476,-0.2664358761
abx_mega__teix_dmso__4,-4.6155643963,-0.6011272411
abx_mega__ethanol-10__1,-1.1194952754,-0.7056644308000001
abx_mega__inh_h2o__1,-1.2868712185,-0.7738321505
abx_mega__rif_dmso__3,-3.0451510522,-0.9883610304
abx_mega__van_dmso__3,2.0117772503,0.6488484013
abx_mega__doxo_dmso__1,4.0643927577,0.8264987613
abx_mega__tmp_dmso__1,-0.4446652774,-0.3274578173
abx_mega__ethanol-10__2,-2.6895294862,-1.124796193
abx_mega__tmp_dmso__2,-1.3447074802,-0.2979865941
abx_mega__amyc-d_dmso__5,0.4091118459,0.2535894027
abx_mega__novo_h2o__4,3.9922230388,-1.0025501383
abx_mega__cro_h2o__2,-3.8896454455000002,-0.5555307263
