,-0.14542041919999998,-0.12464607359999999,-0.103871728,-0.0830973824,-0.06232303680000001,-0.041548691200000015,-0.02077434560000002,-2.7755575615628914e-17,0.020774345599999966,0.04154869119999996,0.062323036799999953,0.08309738239999995,0.10387172799999994,0.12464607359999996,0.14542041919999993,0.1661947647999999,0.18696911039999992,0.20774345599999994,0.2285178015999999,0.24929214719999987
thresh,-0.155807592,0.155807592,2,,,,,,,,,,,,,,,,,
unreg,0,1,0,0,6,52,752,4334,674,44,4,2,0,0,0,0,0,0,0,0
CzrA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
CzrA_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['cadA'],['S1282'],['czcO' 'S1000'],['czcD'],['S1001'],[]
