locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CzrA,link
new_2724871_2724954_c,0.22700343899999997,S1001,5'UTR of czcD,No COG category,,CzrA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2724871_2724954_c
BSU26650,0.204630875,czcD,cation exporter (antiporter),Inorganic ion transport and metabolism,czcD->czcO,CzrA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26650
new_2723805_2723891_c,0.186429575,S1000,intergenic region,No COG category,,CzrA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2723805_2723891_c
BSU26640,0.17976867,czcO,unknown,Inorganic ion transport and metabolism,czcD->czcO,CzrA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26640
new_3440953_3441054_c,0.160871196,S1282,5'UTR of cadA,No COG category,,"SigA,CzrA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3440953_3441054_c
