,A,CzrA
R2,,0.034657318093974654
xmin,,-3.7045666666666683
xmid,,0.21081243098737518
xmax,,1.9488333333333312
ystart,,4.632463676048439
yend,,16.4176672061807
LBexp_1,8.8897161706,-0.6453666666666678
LBexp_2,13.7360323319,-0.5917666666666683
LBexp_3,15.2640065513,-0.9509666666666678
LBtran_1,10.1476644762,0.14453333333333163
LBtran_2,16.1381211653,-0.3662666666666681
LBtran_3,16.9041721305,-0.4486666666666679
LBstat_1,10.023928044,-0.4880666666666684
LBstat_2,9.458670654,-1.2134666666666671
LBstat_3,11.098390215,-1.8117666666666672
LBGexp_1,9.4717692266,-0.8805666666666685
LBGexp_2,14.6991022668,-0.7581666666666678
LBGexp_3,12.5767485746,-0.7587666666666681
LBGtran_2,35.3969219554,-0.39726666666666866
LBGtran_3,28.7618946632,-0.06856666666666733
LBGstat_1,23.5083257153,-2.062866666666668
LBGstat_2,23.9660606531,-2.5005666666666677
LBGstat_3,30.3015376645,-0.9015666666666675
S0_1,3.6150651632,-0.7899666666666683
S0_2,3.6275242476000003,-0.671166666666668
S0_3,4.539990185,-0.6678666666666686
S1_1,-0.6460588277,-0.20836666666666837
S1_2,-0.5894208009,-0.3094666666666672
S1_3,-0.9188062332,-0.17296666666666738
S2_1,-0.5855129925,-0.3305666666666678
S2_2,0.910017764,-0.6753666666666671
S2_3,-1.1171405015,-0.8771666666666675
S3_1,0.9762742569,-0.4145666666666674
S3_2,0.4452265629,-0.3998666666666679
S4_1,1.6483648784,-0.10946666666666793
S4_2,2.8117715402,-0.41616666666666724
S4_3,1.7076370980000002,-0.5942666666666678
S5_1,2.9783475715,-0.5418666666666674
S5_2,1.8022953712,-0.044666666666667965
S5_3,2.0966267256,-0.1402666666666672
S6_1,4.3486956733,-1.2261666666666677
S6_2,6.4022827115,-3.4609666666666676
S6_3,2.8143074148,-0.9326666666666679
S6/t_1,5.0799650136,-0.8643666666666672
S6/t_2,7.9274658842,-3.7045666666666683
S6_4,5.6306145433,-1.1240666666666677
S6_5,5.1725203076,-0.7572666666666681
S6_6,4.624705964,-0.6786666666666683
S7_4,6.7855331386,-0.3407666666666671
S7_5,7.4634990392,-0.5447666666666677
S7_6,7.6464395467,-0.2541666666666682
S8_4,7.8007918762,-0.6964666666666677
S8_5,11.825199432,-2.0189666666666675
G135_1,-2.8659949869,-1.4350666666666676
G135_3,1.1938722817,-2.697766666666668
