,-0.10386572644783655,-0.08788638391740015,-0.07190704138696376,-0.05592769885652736,-0.039948356326090964,-0.023969013795654567,-0.00798967126521817,0.007989671265218226,0.023969013795654623,0.03994835632609102,0.055927698856527416,0.07190704138696381,0.08788638391740021,0.1038657264478366,0.119845068978273,0.1358244115087094,0.1518037540391458,0.16778309656958224,0.1837624391000186,0.19974178163045497
thresh,-0.11185539771305475,0.11185539771305475,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,8,25,357,2463,2330,314,42,9,4,2,3,3,2,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_5279' 'kauB' 'mmsA-I'],['puuP' 'puuB'],['PP_0596'],['PP_3598'],[],[]
